"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Dartmoor National Park--Description and travel--Guide-books","geographical term","009472857","Monograph","Language material ; Text","Volume","GB9158567","9780951651612","Twomey, Paul","","person","","Twomey, Paul [person]","Visitors climbing guide to Dartmoor","","","","England","Plymouth","Wide Blue Yonder","1991","","19 pages, plans, 21 cm","796.52230942353","YK.1992.a.10981","","English","Cover title"
"Dartmoor National Park--Description and travel--Guidebooks","geographical term","018246296","Monograph","Language material ; Text","Volume","GBB862589","9780957281561","Clapham, James","","person","author","Clapham, James, author [person] ; Climbers' Club (Great Britain), publisher [organisation]","Dartmoor : a climbers' club guide","","","","England","","Climbers' Club","2017","","383 pages, illustrations (black and white and colour), colour maps, 15 x 21 cm","796.52230942353","YKL.2018.a.6092","Guidebook ; Handbook or manual","English","Includes index"
"Dartmoor National Park--Environment planning--Reports","general term","012253095","Monograph","Language material ; Text","Volume","GB7317426","9780903849012","Dartmoor National Park Committee","","organisation","","Dartmoor National Park Committee [organisation]","Dartmoor National Park, policy plan 1973","","","","England","County Hall, Exeter, Devon ; Exeter","Devon County Council ; Planning Department","1973","","43 pages, folded leaf, illustrations, colour maps, 30 cm","719.32094235","","","English",""
"Dartmoor Preservation Association (Plymouth, England)--Periodicals","organisation","008562670","Serial","Language material ; Text","Volume","","","","","","","Dartmoor Preservation Association (Plymouth, England) [organisation]","Dartmoor matters : the magazine of the Dartmoor Preservation Association","","","","England","Princetown","","2003-","","volumes, illustrations (some colour), portraits (some colour), 21 cm","","P.P.8005.fl","Periodical","English","Continues: Dartmoor Preservation Association. DPA news"
"Dartmoor pony","general term","007435402","Monograph","Language material ; Text","Volume","GB7822744","9780905981123","Hall, Alison","","person","","Devon (England), Dartmoor National Park Department [organisation] ; Hall, Alison [person]","The ponies of Dartmoor","","","","England","Exeter","Dartmoor National Park Department","1977","","8, 2 pages, illustrations, 21 cm","636.16","83/26444 ; BS.479/1","","English",""
"Dartmoor","general term","006369607","Monographic component part","Language material ; Text","Volume","","9780952789901","","","","","Dartmoor National Park Authority [organisation] ; University of Exeter [organisation] ; Devon Archaeological Society [organisation]","The archaeology of Dartmoor : perspectives from the 1990s","","","","England","","Dartmoor National Park Authority ; Devon Archaeological Society","1996","","","","6689.800000","","English",""
"Dartmoor, Eng--Antiquities","geographical term","007435403","Monograph","Language material ; Text","Volume","GB7835777","9780905981130","Greeves, Tom","1949-","person","","Greeves, Tom, 1949- [person] ; Devon (England), Dartmoor National Park Department [organisation]","The archaeology of Dartmoor : an introduction","","","","England","Exeter","Dartmoor National Park ; Department","1978","","13, 3 pages, illustrations, maps, plans, 21 cm","942.353","82/29094 ; BS.479/2","","English",""
"Daugleddau River Estuary (Wales)--Guidebooks","geographical term","007236336","Monograph","Language material ; Text","Volume","GB9473338","","Price, Norman","1936-","person","","Price, Norman, 1936- [person] ; Pembrokeshire Coast National Park Authority [organisation]","Four circular walks around the Daugleddau Estuary","","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1994","","20 pages, illustrations, maps, 21 cm","914.2963","YK.1995.a.4200","","English",""
"Davies, G. Christopher (George Christopher), 1849-1922","person","012674066","Monograph","Language material ; Text","Volume","GBA251204","9780903094078","Campbell, Jamie","","person","","Middleton, C. S. [person] ; Campbell, Jamie [person]","The man who found the broads : a biography of George Christopher Davies","","","","England","Gorleston on Sea, Norfolk ; Hamilton","","1999","","44 pages, illustrations, portraits, 30 cm","942.617092","YC.2002.b.1002","","English",""
"Deer--Behavior--Environmental aspects--Scotland--Loch Lomond and the Trossachs National Park","general term","014518208","Monograph","Language material ; Text","Volume","GBA816967","","Headley, A. D. (Alistair D.)","","person","","Scottish Natural Heritage (Agency) [organisation] ; Headley, A. D. (Alistair D.) [person]","An assessment and evaluation of herbivore impacts on alpine heaths and grasslands within the Ben More-Stob Binnein site of Special Scientific Interest","","Commissioned report","number 233 [Commissioned report]","Scotland","Inverness","Scottish Natural Heritage","2007","","iv, 31 pages, colour illustrations, colour maps, 30 cm","333.7416094142","YK.2008.b.6441","","English","Publisher's number: ROAME number RO6AC208"
"Deer--Wales--Brecon Beacons National Park","general term","015413696","Monograph","Language material ; Text","Sheet","GBA9A7801","","","","","","Brecon Beacons National Park Authority [organisation]","Ceirw gwylltion ym Mannau Brycheiniog = Wild deer in the Brecon Beacons","Wild deer in the Brecon Beacons","","","England ; Wales","Brecon","Brecon Beacons National Park","2009","","1 folded sheet, colour illustrations, 42 x 30 cm folded to 21 x 10 cm","","","","English ; Welsh",""
"Derbyshire (England)","general term","006744511","Monograph","Language material ; Text","Volume","GB9575582","9780952485001","","","","","","Peak district","","About England","","England","Melton Mowbray","Creative Pub. Services","1995","","56 pages, illustrations (some colour, colour maps, colour portraits), 22 cm","914.251104859","YK.1996.a.11749","","English","1 concertina sheet folded to 12p ; Places to visit vouchers attached to inside cover"
"Derbyshire (England)","general term","007241547","Monograph","Language material ; Text","Volume","GB9563050","9780851000749","Parker, William","1911-","person","","Parker, William, 1911- [person] ; Tidsall, Peter [person] ; Tidsall, Pat [person] ; Parker, Vera [person] ; Williamson, P. J. (Paul James), 1937- [person]","Short walks in the Peak Park","","","","England","Derby","Derbyshire Countryside","1995","5th edition, revised by Patippu and Peter Tidsall","64 pages, illustrations, maps, 18 cm","796.510942511","YK.1995.a.7930","","English","Previous edition: 1991 ; illustrations on inside covers"
"Derbyshire (England)","general term","007446486","Monograph","Language material ; Text","Volume","GB9302101","9780907543497","Scott, Duncan","1942-","person","","Peak Park Trust [organisation] ; Healey, Brian [person] ; Scott, Duncan, 1942- [person] ; Shenton, Neil [person] ; University of Manchester, Department of Social Policy and Social Work [organisation]","Hidden deprivation in the countryside : local studies in the Peak District National Park","","","","England","Glossop","Peak Park Trust","1991","","76 pages, illustrations, 2 maps, 30 cm","305.5690942511","YK.1993.b.6548","","English","'A report commissioned by the Peak Park Trust from the Department of Social Policy and Social Work, University of Manchester' - t.p"
"Derbyshire (England)","general term","007448456","Monograph","Language material ; Text","Volume","GB9628922","9780907758808","Taylor, Norman","1947-","person","","Taylor, Norman, 1947- [person]","More family walks in the White Peak","","Family walks series","","England","Cromford","Scarthin","1995","","95 pages, illustrations, maps, 21 cm","914.251104859","YK.1996.a.10716","","English",""
"Derbyshire (England)","general term","011395265","Monograph","Language material ; Text","Volume","GB9533241","9781850584018","Holmes, Chris","1958-","person","","Holmes, Chris, 1958- [person]","The bogtrotter's guide","","","","England","Wilmslow","Sigma Leisure","1994","","viii, 155 pages","914.251104859","YK.1996.a.15518","","English",""
"Derbyshire (England)","general term","012483291","Monograph","Language material ; Text","Volume","GB9318663","","Merrill, John N.","1943-","person","","Merrill, John N., 1943- [person]","40 short circular walks in the Peak District","Forty short circular walks in the Peak District","","","England","Matlock","J. N. M. Publications","1992","","1 volume, illustrations, maps, 21 cm","914.251104859","YK.1994.a.16057","","English",""
"Derbyshire (England)--Description and travel--Guidebooks","geographical term","008117822","Monograph","Language material ; Text","Volume","GB8034023","9780851000695","","","","","Allen, James William [person] ; Märtin, Herbert [person]","Walking in Derbyshire : a detailed route guide for rambling in the Peak District National Park and adjacent countryside","","","","England","Derby ; Lodge Lane, Derby","Derbyshire Countryside","1980","7th revised edition, completely revised by H. Martin","64 pages, maps, 18 cm","796.51094251","X.629/13930","Guidebook","English","Previous edition: 197-"
"Derbyshire--Longdendale--Proposed motorways--Critical studies","general term","012255409","Monograph","Language material ; Text","Volume","GB7514782","9780950042213","Voluntary Joint Committee for the Peak District National Park","","organisation","","Voluntary Joint Committee for the Peak District National Park [organisation]","A motorway, Sheffield to Manchester through Longdendale in the Peak District National Park : a calculated prediction of the dangers threatening the Peak District National Park, and the bordering countryside and an appeal for help to avert it","","","","England","Endcliffe Cres, Sheffield S10 3ED ; Sheffield","Committee","1974","","16 pages, illustrations, plans, 25 cm","388.12 ; 388.122","","","English","Cover title: A motorway in a national park"
"Derbyshire--Peak District--Recreations--Walking--Visitors' guides","general term","010962217","Monograph","Language material ; Text","Volume","GB7502388","9780851000336","","","","","Haworth, James [person] ; Brown, Charles H. (Charles Henry), 1901- [person] ; Allen, James William [person]","Walking in Derbyshire : a detailed route guide for rambling in the Peak District National Park and adjacent countryside","","","","England","Derby ; Lodge Lane, Derby","Derbyshire Countryside","1974","5th revised edition","64 pages, maps, 18 cm","796.510942511","","Guidebook","English","Previous edition: 1973"
"Derbyshire--Recreations--Walking","general term","008117822","Monograph","Language material ; Text","Volume","GB8034023","9780851000695","","","","","Allen, James William [person] ; Märtin, Herbert [person]","Walking in Derbyshire : a detailed route guide for rambling in the Peak District National Park and adjacent countryside","","","","England","Derby ; Lodge Lane, Derby","Derbyshire Countryside","1980","7th revised edition, completely revised by H. Martin","64 pages, maps, 18 cm","796.51094251","X.629/13930","Guidebook","English","Previous edition: 197-"
"Derwentwater, Lake (England)","geographical term","010988337","Monograph","Language material ; Text","Volume","GB9721807","9780906421413","","","","","Lake District National Park Authority [organisation]","Derwentwater management plan","","","","England","Kendal","Lake District National Park Authority","1996","","40 pages, maps, 30 cm","307.12 ; 577","q96/30149","","English",""
"Design--England--Peak District National Park","general term","013799137","Monograph","Language material ; Text","Volume","GBA757290","9780907543701","Peak District National Park Authority","","organisation","","Thompson, Bryan [person] ; Peak District National Park Authority [organisation] ; Sewell, John, 1950- [person]","Design guide","","","","England","Bakewell, Derbyshire","Peak District National Park Authority","2007","","63 pages, colour illustrations, 32 cm","","","","English","p.63: authors: John Sewell, Bryan Thompson"
"Development in South Yorkshire","general term","012330002","Monograph","Language material ; Text","Volume","","","","","","","South Yorkshire County Council [organisation]","Development plan scheme for South Yorkshire : Excluding the area of the County within the Peak District National Park","","","","England","Barnsley","South Yorkshire County Council","1980","","","307.12","OP-LG/3224","","English",""
"Devon (England)","general term","007242190","Serial","Language material ; Text","Volume","GB9575150","","","","","","","An invitation to Dartmoor : a guide to its towns & villages","","","","England","Plymouth ; Trafalgar Street, Plymouth PL4 9PE","Invitation Press","1994-","","volumes, illustrations, 23 cm","914.235304859","ZK.9.a.4179","","English","Description based on: 1996/7 edition"
"Devon (England)","general term","008158233","Monograph","Language material ; Text","Volume","GB9422893","9781872640242","","","","","Dartmoor National Park Authority [organisation] ; Dartmoor Pony Society [organisation]","A glimpse of Dartmoor ponies","","","","England","Newton Abbot","Peninsula","1993","","40 pages","636.160942353","YK.1994.a.8703","","English",""
"Devon (England)","general term","008412451","Monograph","Language material ; Text","Volume","GB9220600","9781853061615","Green, Christina","","person","","Green, Christina [person]","Walks in Exmoor : twenty country walks within the Exmoor National Park","","","","England","Newbury","Countryside","1992","Revised and updated edition","79 pages, 22 cm","796.510942385","","Guidebook","English",""
"Devon (England)","general term","008806413","Monograph","Language material ; Text","Volume","GB9452511","9780948444258","Keene, Peter","","person","","Oxford Brookes University [organisation] ; Keene, Peter [person] ; Pearce, Brian, 1951- [person] ; Exmoor National Park [organisation]","Valley of Rocks, Lynton","","","","England","Oxford","Thematic Trails","1993","","44 pages","554.235","YK.1994.a.15491","","English",""
"Devon (England)","general term","009472857","Monograph","Language material ; Text","Volume","GB9158567","9780951651612","Twomey, Paul","","person","","Twomey, Paul [person]","Visitors climbing guide to Dartmoor","","","","England","Plymouth","Wide Blue Yonder","1991","","19 pages, plans, 21 cm","796.52230942353","YK.1992.a.10981","","English","Cover title"
"Devon (England)","general term","009539184","Monograph","Language material ; Text","Volume","GB9150929","9780861148738","Hamilton-Leggett, Peter","","person","","Dartmoor National Park Authority [organisation] ; Hamilton-Leggett, Peter [person]","The Dartmoor bibliography 1534-1991 : including a 1992 supplement : non fiction","","","","England","","Dartmoor National Park Authority ; Devon","1992","","xii, 367 pages","016.942353","93/02370 ; 942.353","","English",""
"Devon (England)","general term","010120473","Monograph","Language material ; Text","Volume","GB9034330","9780861831821","Beazley, David","1926-","person","","Beazley, David, 1926- [person] ; Exmoor National Park Authority [organisation]","Walks for motorists : Exmoor","Exmoor","","","England","Exeter","Exmoor ; Exmoor National Park Authority","1990","","107 pages, maps, 21 cm","796.510942385","YK.1991.a.4968","","English","Originally published: / David Butler. London : Warne, 1979"
"Devon (England)","general term","010120490","Monograph","Language material ; Text","Volume","GB9565211","9780861832590","Beazley, David","1926-","person","","Beazley, David, 1926- [person]","Exmoor : walks for motorists : 30 circular walks","","","","England","Dulverton","Exmoor","1994","New edition","112 pages, maps, 21 cm","796.510942385","YK.1996.a.10836","Guidebook","English","Previous edition: 3rd, revised and updated, 1992"
"Devon (England)","general term","012474305","Monograph","Language material ; Text","Volume","GB9146721","9780951403723","Hayward, John","1922-","person","","Hayward, John, 1922- [person]","Dartmoor 365 : an exploration of every one of the 365 square miles in the Dartmoor National Park","","","","England","Exeter","Curlew Publications","1991","","382 pages, 22 cm","914.235304859","YK.1992.a.361","","English",""
"Devon (England)","general term","012690089","Monograph","Language material ; Text","Volume","GB9573440","9781855224148","","","","","Dartmoor National Park Authority [organisation]","Access for all : a guide for less mobile and disabled visitors to Dartmoor National Park","","","","England","Newton Abbot","Dartmoor National Park Authority","1995","","21 pages, colour illustrations, maps, 21 cm","914.2353048590240816","YK.1996.a.6370","","English","Cover title"
"Devon","general term","007439864","Monograph","Language material ; Text","Volume","GB8326412","9780906570074","Nash, Lilla","","person","","Waller, Ann [person] ; Nash, Lilla [person]","Explore Devon & west Somerset : including the Dartmoor & Exmoor National Parks","","A Regional publication","","England","Bristol","Regional Publications","1982","","47 pages, 10 pages of plates, illustrations (some colour), maps (some colour), portraits, 21 cm","914.23504857 ; 914.23504858 ; 914.238504858","X.809/55298","","English",""
"Devon--Bickleigh Vale--Recreation facilities","general term","010535568","Monograph","Language material ; Text","Volume","GB7720087","","Devon (England), Planning Department, Rural and Recreation Section","","organisation","","Devon (England), Planning Department, Rural and Recreation Section [organisation]","Bickleigh Vale recreation study","","","","England","County Hall, Exeter, Devon ; Exeter","Department","1977","","1, volumes, 54 pages, illustrations, maps, 1 colour plan, 30 cm","333.7809423592","X.702/5430","","English",""
"Devon--Combe Martin--Guidebooks","general term","012255304","Monograph","Language material ; Text","Volume","GB7119524","9780950025629","","","","","Barlow, Howard, 1945- [person] ; Beaumont, George Frederick [person]","Combe Martin: a coastal resort at the Western gateway to Exmoor National Park. 1971","","","","England","Combe Martin ; Haine, White Lodge, Combe Martin, Devon","Combe Martin Guide Committee","1971","","91 pages, illustrations (some colour), coat of arms, 1 map, 18 cm","914.235","","","English",""
"Devon--Combe Martin--Guidebooks","general term","012255305","Monograph","Language material ; Text","Volume","GB7204718","9780950025636","","","","","Barlow, Howard, 1945- [person] ; Beaumont, George Frederick [person]","Combe Martin, on the coast at the western gateway to Exmoor National Park. 1972","","","","England","Combe Martin ; Haine, White Lodge, Combe Martin, Devon","Combe Martin Guide Committee","1972","","98 pages, illustrations (some colour), coat of arms, maps, 18 cm","914.235","","","English",""
"Devon--Combe Martin--Guidebooks","general term","012255306","Monograph","Language material ; Text","Volume","GB7306754","9780950025643","","","","","","Combe Martin, on Devon's golden coast at the western gateway to Exmoor National Park. 1973","","","","England","Combe Martin ; Haine, White Lodge, Combe Martin, Devon","Combe Martin Guide Committee","1973","","92 pages, illustrations (some colour), maps, 18 cm","914.235","","","English",""
"Devon--Dartmoor","general term","007439860","Monograph","Language material ; Text","Volume","GB8302917","9780906570036","","","","","","Tourists' guide to the Dartmoor and Exmoor National Parks : including the Quantocks","","","","England","Bristol","Regional Publications","1980","","80 pages, illustrations, 1 colour map, 21 cm","914.235304857 ; 914.235304858 ; 914.238504857 ; 914.238504858","X.809/53648","","English","bibliography: p79. _ Includes index"
"Devon--Dartmoor","general term","010749081","Monograph","Language material ; Text","Volume","GB8700159","9780863501395","","","","","","Dartmoor National Park","","Official guide / Countryside Commission","","England","Exeter","Webb & Bower","1987","","128 pages, illustrations (some colour), 1 colour map, 21 cm","914.235304858","YK.1987.a.3048","","English","bibliography: p124. _ Includes index"
"Devon--Dartmoor--1970-1979--Walkers' guides","general term","006742407","Monograph","Language material ; Text","Volume","GB7817115","9780905981017 ; 9780905981024","Devon (England), Dartmoor National Park Department","","organisation","","Prince, Elizabeth [person] ; Devon (England), Dartmoor National Park Department [organisation]","Walks in the Dartmoor National Park","","","","England","County Hall, Exeter ; Devon ; Exeter","Department","1977","","44 pages, illustrations (some colour), colour maps, 21 cm","914.235304857","BS.116/119","","English","Text on inside back cover"
"Devon--Dartmoor--Antiquities--Sites--Sources of evidence--Aerial photographs","general term","010116545","Monograph","Language material ; Text","Volume","GB8852591","9780861147540","Greeves, Tom","1949-","person","","Greeves, Tom, 1949- [person] ; Dartmoor National Park Authority [organisation]","The Archaeology of Dartmoor from the air","","","","England","Exeter","Dartmoor National Park ; Devon","1985","","1 volume, illustrations, 25 cm","936.2353","YK.1988.b.5985","","English",""
"Devon--Dartmoor--Antiquities--to ca 1900","general term","007435403","Monograph","Language material ; Text","Volume","GB7835777","9780905981130","Greeves, Tom","1949-","person","","Greeves, Tom, 1949- [person] ; Devon (England), Dartmoor National Park Department [organisation]","The archaeology of Dartmoor : an introduction","","","","England","Exeter","Dartmoor National Park ; Department","1978","","13, 3 pages, illustrations, maps, plans, 21 cm","942.353","82/29094 ; BS.479/2","","English",""
"Devon--Dartmoor--Geological features","general term","007435399","Monograph","Language material ; Text","Volume","GB7816773","9780905981093","Hall, John","1953-","person","","Devon (England), Dartmoor National Park Department [organisation] ; Hall, John, 1953- [person]","Dartmoor National Park, outline of the geology","","","","England","County Hall, Exeter ; EX2 4OD ; Exeter","Department","1977","","8 pages, illustrations (some colour), maps (1 colour), 21 cm","554.2353","78/17997 ; BS.116/112","","English",""
"Devon--Dartmoor--Guided walks--Organisation--1973-1974","general term","010120109","Monograph","Language material ; Text","Volume","GB8041967","9780861700059","Taylor, Graham","1945-","person","","Freeman, Peter, 1943- [person] ; Taylor, Graham, 1945- [person] ; Great Britain, Countryside Commission [organisation] ; Dartmoor National Park Authority [organisation]","Guided walks : a report of the Dartmoor Interpretation Project, 1972-77 conducted for the Countryside Commission by the Dartmoor National Park Authority","","CCP","130 [CCP]","England","Cheltenham","Countryside Commission","1980","","vii, 70 pages, illustrations, colour maps, 30 cm","796.51","BS.116/51 (130)","","English",""
"Devon--Dartmoor--National parks--Dartmoor National Park","general term","010116569","Monograph","Language material ; Text","Volume","GB8713222","9780861147939","Prince, Elizabeth","","person","","Head, John, 1934 May 23- [person] ; Prince, Elizabeth [person]","Dartmoor seasons","","","","England","Exeter","Devon","1987","","160 pages, illustrations, 25 cm","719.320942353","YV.1987.b.1803","","English",""
"Devon--Dartmoor--National parks--Dartmoor National Park--Conservation","general term","010553838","Monograph","Language material ; Text","Volume","GB8132486","","","","","","Dartmoor Preservation Association [organisation] ; Exmoor Society [organisation]","The Crisis on Dartmoor and Exmoor","","","","England","Oxford Gardens, Mannamead, Plymouth, Devon PL3 4SF ; Plymouth","Dartmoor Preservation Association ; Exmoor Society","1980","","8 pages, illustrations, maps, 21 cm","333.78 ; 333.7830942353 ; 333.7830942385","X.809/48918","","English",""
"Devon--Dartmoor--National parks--Dartmoor National Park--Environment planning","general term","007435394","Monograph","Language material ; Text","Volume","GB7727972","9780905981000","Dartmoor National Park Authority","","organisation","","Dartmoor National Park Authority [organisation]","Dartmoor National Park plan","","","","England","County Hall, Exeter EX2 4QD ; Exeter","Authority","1977","","7, 57, that is 61 pages, 14 pages of plates, illustrations, 1 facsimile, maps, 30 cm","719.320942353","BS.116/110 ; f78/0020 ; f78/0803","","English",""
"Devon--Dartmoor--National parks--Dartmoor National Park--Flowering plants","general term","007435400","Monograph","Language material ; Text","Volume","GB7902713","9780905981109","Devon (England), Dartmoor National Park Department","","organisation","","Hall, Alison [person] ; Devon (England), Dartmoor National Park Department [organisation]","Dartmoor National Park, the wild flowers of the open moor","","","","England","County Hall, Exeter ; EX2 4OD ; Exeter","Department","1977","","12 pages, illustrations, 21 cm","582.130942353","BS.116/117","","English",""
"Devon--Dartmoor--National parks--Dartmoor National Park--Serials","general term","011817071","Serial","Language material ; Text","Volume","GB8834726","","","","","","Dartmoor National Park Authority [organisation]","Work of the authority - Dartmoor National Park","","","","England","Bovey Tracey","Dartmoor National Park Authority","1986-","","volumes, illustrations, maps, 30 cm","719.320942353","9348.120000 ; BS.32/231","","English","Continues: Annual report - Dartmoor National Park Authority (ISSN: 0951-1415)"
"Devon--Dartmoor--National parks--Dartmoor National Park--Serials","general term","011826631","Serial","Language material ; Text","Volume","GB9008120","","Dartmoor National Park Committee","","organisation","","Dartmoor National Park Authority [organisation] ; Dartmoor National Park Committee [organisation]","Annual report","Annual report (Dartmoor National Park Committee)","","","England","Exeter","Devon County Council","1975-","","volumes, illustrations, 21 cm","719.320942353","BS479/3","","English",""
"Devon--Dartmoor--National parks--Dartmoor National Park--Trees","general term","007435401","Monograph","Language material ; Text","Volume","GB7902714","9780905981116","Devon (England), Dartmoor National Park Department","","organisation","","Head, John, 1934 May 23- [person] ; Hall, Alison [person] ; Devon (England), Dartmoor National Park Department [organisation]","Dartmoor National Park, the trees and forests","","","","England","County Hall, Exeter ; EX2 4OD ; Exeter","Department","1977","","9, 2 pages, illustrations (some colour), 21 cm","582.160942353","BS.116/116","","English",""
"Devon--Dartmoor--National parks--Dartmoor National Park--Use by Great Britain--Army--& Great Britain--Royal Marines","general term","010672143","Monograph","Language material ; Text","Volume","GB7825021","9780117511392","Sharp, Evelyn Adelaide Sharp, Baroness","1903-1985","person","","Sharp, Evelyn Adelaide Sharp, Baroness, 1903-1985 [person] ; Great Britain, Department of the Environment [organisation] ; Great Britain, Ministry of Defence [organisation]","Dartmoor : a report by Lady Sharp G.B.E. to the Secretary of State for the Environment and the Secretary of State for Defence of a public local inquiry held in December, 1975 and May, 1976 into the continued use of Dartmoor by the Ministry of Defence for training purposes","","","","England","London","H.M.S.O","1977","","3, iv, 120 pages, 2 leaves of plates (1 folded), 2 maps, 30 cm","355.79","BS.414/1801","","English",""
"Devon--Dartmoor--Recreations--Walking","general term","008812369","Monograph","Language material ; Text","Volume","GB7814512","9780950369679","Westacott, H. D. (Hugh Douglas)","1932-","person","","Westacott, H. D. (Hugh Douglas), 1932- [person]","Walks and rides on Dartmoor","","","","England","Adstock ; Adstock Cottage, Adstock, Buckingham","Footpath Publications","1977","","32 pages, colour maps, 1 portrait (on inside back cover), 21 cm","796.510942353","X.709/32149","","English","Text on inside back cover"
"Devon--Dartmoor--Recreations--Walking","general term","012628825","Monograph","Language material ; Text","Volume","GB8814974","9780706366341","Weir, John (John W. H.)","","person","","Le Messurier, Brian [person] ; Weir, John (John W. H.) [person]","Dartmoor & Exmoor","","Great walks","","England","London","Ward Lock","1988","","176 pages, illustrations, 26 cm","796.510942353 ; 796.510942385","YC.1989.b.1041","","English","Includes index"
"Devon--Dartmoor--Walkers' guides","general term","007435395","Monograph","Language material ; Text","Volume","GB8838625","9780905981031","Devon (England), Dartmoor National Park Department","","organisation","","Devon (England), Dartmoor National Park Department [organisation]","Walks 2 : circular walks on south west Dartmoor","Walks in the Dartmoor National Park","","","England","Newton Abbot","Dartmoor National Park Dept","1985","2nd edition","68 pages, illustrations, maps, 21 cm","914.235304857 ; 914.235304858","YC.1988.a.7028","","English","At head of title: Dartmoor National Park ; Previous edition: published as Walks in the Dartmoor National Park. 1979"
"Devon--Dartmoor--Walkers' guides","general term","007435396","Monograph","Language material ; Text","Volume","GB8838627","9780905981048","Devon (England), Dartmoor National Park Department","","organisation","","Devon (England), Dartmoor National Park Department [organisation]","Walks 3 : the Dart Valley","","","","England","Newton Abbot","Dartmoor National Park Dept","1980","","88 pages, illustrations, maps, 21 cm","914.235304857 ; 914.235304858","YC.1988.a.6364","","English",""
"Devon--Dartmoor--Walkers' guides","general term","007435397","Monograph","Language material ; Text","Volume","GB8838626","9780905981055","Devon (England), Dartmoor National Park Department","","organisation","","Devon (England), Dartmoor National Park Department [organisation]","Walks 4 : circular walks : Haytor and area","","","","England","Newton Abbot","Dartmoor National Park Dept","1985","","64 pages, illustrations, maps, 21 cm","914.235304857 ; 914.235304858","YC.1988.a.7040","","English",""
"Devon--Description and travel--Guide-books","geographical term","007439864","Monograph","Language material ; Text","Volume","GB8326412","9780906570074","Nash, Lilla","","person","","Waller, Ann [person] ; Nash, Lilla [person]","Explore Devon & west Somerset : including the Dartmoor & Exmoor National Parks","","A Regional publication","","England","Bristol","Regional Publications","1982","","47 pages, 10 pages of plates, illustrations (some colour), maps (some colour), portraits, 21 cm","914.23504857 ; 914.23504858 ; 914.238504858","X.809/55298","","English",""
"Devon--Plymouth--Guidebooks","general term","011606367","Monograph","Language material ; Text","Volume","GB7205679","9780901711038","","","","","","Plymouth official guide. 1971","","","","England","Municipal Offices, Plymouth, Devon ; Plymouth","Plymouth Publicity & Entertainments Manager","1971","","113 pages, illustrations (some colour), 24 cm","914.235","","Guidebook","English","Cover title: Plymouth: holiday city by the sea, bounded by the Dartmoor National Park. - folded sheet (maps) as insert"
"Devon--Soils","general term","018851658","Monograph","Cartographic image ; Cartographic material ; Text","Sheet ; Volume","","9781999845308 ; 9781999845315","","","","","Harrod, T. R. [person] ; Dartmoor Preservation Association [organisation] ; Soil Survey & Land Research Centre (Great Britain) [organisation] ; Dartmoor National Park Authority [organisation] ; Landscape Research Group (Great Britain) [organisation]","Soils in Devon IX : sheet SX68/78 (Moretonhampstead and Chagford)","Soil survey of North-East Dartmoor ; Soil: sheet SX68 & 78","Soil survey record","number 117 [Soil survey record]","England","Crediton","Soil Survey of England & Wales","2017","","xvi, 384 pages, colour and black and white illustrations, colour maps, 21 cm + 2 maps on 1 sheet (colour, on sheet 126 x 89 cm, folded to 22 x 13 cm in slip case 24 x 16 cm)","912.4235","Maps.2018.a.41","Map","English","Includes description of map units and classification of soil series tables ; Includes location map and cross-section map ; Map production by Latitude Cartography Ltd ; Ordnance Survey © Crown Copyright 2015 ; Relief shown by contours, shading and spot heights ; Text and colour photographs on inside covers ; book and map in slip case"
"Dinas Cross (Wales)--Description and travel","geographical term","012263508","Monograph","Language material ; Text","Sheet","GBA131856","","","","","","Dinas Cross Millennium Celebrations Committee [organisation] ; Beck, Christine [person]","Dinas Cross : North Pembrokeshire : four circular walks in the National Park","","","","Wales","Goodwick","Phoenix","2001","","1 sheet, illustrations, map, 42 x 40 cm, folded to 21 x 10 cm","","","Guidebook","English",""
"Dinas Cross (Wales)--Description and travel","geographical term","012263509","Monograph","Language material ; Text","Sheet","GBA131857","","","","","","Dinas Cross Millennium Celebrations Committee [organisation] ; Beck, Christine [person]","Dinas Cross : Gogledd Sir Benfro : pedair taith gerdded gron yn y Parc Cenedlaethol","","","","Wales","Wdig","Gwasg Phoenix","2001","","1 sheet, illustrations, map, 42 x 40 cm, folded to 21 x 10 cm","","","Guidebook","Welsh",""
"Dinas Cross (Wales)--Guidebooks","geographical term","012263508","Monograph","Language material ; Text","Sheet","GBA131856","","","","","","Dinas Cross Millennium Celebrations Committee [organisation] ; Beck, Christine [person]","Dinas Cross : North Pembrokeshire : four circular walks in the National Park","","","","Wales","Goodwick","Phoenix","2001","","1 sheet, illustrations, map, 42 x 40 cm, folded to 21 x 10 cm","","","Guidebook","English",""
"Dinas Cross (Wales)--Guidebooks","geographical term","012263509","Monograph","Language material ; Text","Sheet","GBA131857","","","","","","Dinas Cross Millennium Celebrations Committee [organisation] ; Beck, Christine [person]","Dinas Cross : Gogledd Sir Benfro : pedair taith gerdded gron yn y Parc Cenedlaethol","","","","Wales","Wdig","Gwasg Phoenix","2001","","1 sheet, illustrations, map, 42 x 40 cm, folded to 21 x 10 cm","","","Guidebook","Welsh",""
