"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Berry, David","1948-","person","","Berry, David, 1948- [person]","018566686","Monograph","Language material ; Still image ; Text","Volume","GBB7J9328","9781908748423","Walks in the hidden heart of North Wales : between the Vale of Clwyd and the Snowdonia National Park","Hidden heart of North Wales : between the Vale of Clwyd and the Snowdonia National Park","Kittiwake walks in the","","Wales","Glantwymyn, Machynlleth","Kittiwake","2017","New edition","40 pages, black and white illustrations, black and white maps, 21 cm","","","Wales, North--Guidebooks ; Trails--Wales, North--Guidebooks","Guidebook","English","'Twenty-two great circular self-guided walks suitable for all abilities' -- cover ; Cover title"
"Berry, David","1948-","person","author","Berry, David, 1948-, author [person]","017184850","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB559280","9781908748287","Walks around hidden Conwy : between the Snowdonia National Park and the Vale of Clwyd","","","","Wales","Glantwymyn","Kittiwake-Books","2015","","40 pages, black and white illustrations, black and white maps, 21 cm","796.510942927","YK.2021.a.1052","Conwy (Wales)--Guidebooks ; Walking--Wales--Conwy--Guidebooks","Guidebook","English",""
"Berthinussen, Anna","","person","author","British Trust for Ornithology [organisation] ; Berthinussen, Anna, author [person] ; Newson, Stuart, author [person]","019397774","Monograph","Language material ; Text","Volume","GBB9B4938","9781912642021","Improving our understanding of the distribution and status of bats within the Ryevitalise Landscape Partnership Scheme area","","British Trust for Ornithology research report","716 [British Trust for Ornithology research report]","England","Thetford","British Trust for Ornithology","2019","","51 pages, colour illustrations, colour maps, 30 cm","","YKL.2020.b.2618","Bats--Conservation ; Bats--North York Moors National Park (England)","","English",""
"Besley, Paul","","person","author","Besley, Paul, author [person]","019704289","Monograph","Language material ; Text","Online resource (PDF ebook ; ePub ebook)","GBC020369","9781783628254 ; 9781783628261","Walking in the Peak District. White Peak East : 42 walks in Derbyshire including Bakewell, Matlock and Stoney Middleton","White Peak East","","","England","Kendal","Cicerone","2020","Third edition","1 online resource","796.510942511","ELD.DS.564162","Walking--England--Peak District--Guidebooks ; Peak District (England)--Guidebooks","Guidebook","English","Additional physical form: Print version. 9781852849764"
"Biddulph, Jim","","person","illustrator ; photographer","Page, Brian, illustrator ; photographer [person] ; Mazzolini, Renzo, illustrator [person] ; Mitchell, David, illustrator ; photographer [person] ; Biddulph, Jim, illustrator ; photographer [person] ; Paterson, Robert, illustrator ; photographer [person] ; Young, Gavin, illustrator ; photographer [person] ; Tobin, Carron, author [person] ; Winstone, Sheila, editor [person] ; Loch Lomond and the Trossachs National Park Authority, author [organisation]","016003062","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB328585","9780955004957","Carrochan : building beyond boundaries","","","","England","Balloch","Loch Lomond ; Trossochs National Park Authority","2010","Second edition","63 pages, colour illustrations, colour maps, 20 x 20 cm","725.1094142","YK.2013.a.11493","Loch Lomond and the Trossachs National Park Authority--Buildings ; Carrochan (Balloch, West Dunbartonshire, Scotland : Building)","","English",""
"Binding, Hilary","1938-","person","","Binding, Hilary, 1938- [person] ; Exmoor National Park Authority [organisation]","010120493","Monograph","Language material ; Text","Volume","GB9608682","9780861832712","Exmoor : 40 years on","","","","England","Dulverton","Exmoor","1994","","ii, 102 pages, illustrations, map, portraits, 21 cm","942.385085","YK.1996.a.6621","Exmoor National Park (England)--History ; Somerset (England) ; National parks--History","","English",""
"Binding, Hilary","1938-","person","","Binding, Hilary, 1938- [person] ; Pearce, Brian, 1951- [person]","010353665","Monograph","Language material ; Text","Volume","GBA4Y0233","9780861834860","Exmoor village : looking back over 50 years of Exmoor National Park","","","","England","Tiverton","Exmoor","2004","","160 pages, 8 pages of plates, illustrations (some colour), 30 cm","942.385085","","Exmoor (England)--History--20th century--Pictorial works ; Exmoor National Park (England)--History--Pictorial works","Pictorial work","English",""
"Binding, Hilary","1938-","person","","Binding, Hilary, 1938- [person]","010120511","Monograph","Language material ; Text","Volume","GBA029516","9780861834259","Enjoying Exmoor","","","","England","Dulverton","Exmoor","1999","","64 pages, colour illustrations, colour map, portraits, 21 cm","914.23850486","YK.2000.a.8187","Exmoor National Park (England)--Guidebooks","Guidebook","English",""
"Binding, Hilary","1938-","person","","Binding, Hilary, 1938- [person]","015430655","Monograph","Language material ; Text","Volume","GBB142026","9781841149509","Exmoor by the way","","","","England","Wellington","Halsgrove","2009","","128 pages, illustrations, 21 cm","942.38","YK.2011.a.8248","Somerset (England)--History ; Exmoor National Park (England) ; Somerset (England)--Social life and customs","","English",""
"Bingham, Heather","","person","","Bingham, Heather [person] ; Ramage, Rosalind [person]","011039450","Monograph","Language material ; Text","Volume","","9780906421109","The Lake District National Park : a fragile environment?","A fragile environment?","GCSE resource guide","4 [GCSE resource guide]","England","Windermere","Lake District Park Authority","1990","","","","q90/21761","","","English",""
"Bingham, Heather","","person","","Lake District National Park Authority [organisation] ; Cumbria (England), Education Department [organisation] ; Bingham, Heather [person] ; Ramage, Rosalind [person]","007438758","Monograph","Language material ; Text","Volume","GB9006144","9780906421109","A fragile environment? : for teachers, highlighting some issues relating to the environment of the Lake District National Park","","GCSE resource guide","4 [GCSE resource guide]","England","Windermere","Cumbria Education Department ; Lake District National Park Authority","1990","","80 pages, illustrations, maps, 30 cm","333.783094278","YK.1990.b.9390","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park","","English","At head of title: Lake District National Park ; Includes index"
"Bingham, Heather","","person","","Lake District National Park Authority [organisation] ; Ramage, Ros [person] ; Bingham, Heather [person] ; Cumbria (England), Education Department [organisation]","007438756","Monograph","Language material ; Text","Volume","GB8814424","9780906421086","Learning to live with tourism : for teachers, highlighting some issues relating to settlement and tourism in the Lake District National Park","","GCSE resource guide","2 [GCSE resource guide]","England","Windermere","Cumbria Education Department ; Lake District National Park Authority","1988","","96 pages, illustrations (some colour), maps (some colour), 1 facsimile, 30 cm","333.783094278","BS.32/243 ; q90/20433","Lake District National Park (England) ; Cumbria--Lake District--National parks--Lake District National Park","","English","At head of title: Lake District National Park ; Includes index"
"Bingham, Heather","","person","","Lake District National Park Authority [organisation] ; Ramage, Ros [person] ; Bingham, Heather [person] ; Cumbria (England), Education Department [organisation]","007438757","Monograph","Language material ; Text","Volume","GB8929761","9780906421093","Choices for farmers : for teachers, highlighting some issues relating to hill farming in the Lake District today and into the future","","GCSE resource guide","3 [GCSE resource guide]","England","Windermere","Cumbria Education Department ; Lake District National Park Authority","1989","","96 pages, illustrations (some colour), maps (some colour), 30 cm","333.783094278","YK.1990.b.4834","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park","","English","At head of title: Lake District National Park ; Includes index"
"Bird, Alan C.","","person","","Bird, Alan C. [person] ; Taylor, J. C. [person]","005600370","Monograph","Language material ; Text","Volume","GB9909745","9781871564266","Landscape change in the national parks of England and Wales","","","","England","Cranfield","Cranfield Institute of Technology","1991","","93 pages, illustrations (some colour), maps, 30 cm","","","Snowdonia National Park ; National parks and reserves--Wales--Snowdonia ; Landscape changes--Wales--Snowdonia","","English",""
"Birkett, Bill","","person","","Birkett, Bill [person]","008380820","Monograph","Language material ; Text","Volume","GBA2Z5411","9780007136292","Complete Lakeland Fells","","","","England","London","Collins","2002","","288 pages, colour illustrations, 25 cm","796.522094278","","Lake District National Park (England)--Guidebooks ; Hiking--England--Lake District National Park--Guidebooks","Guidebook","English",""
"Birkett, David","","person","","Birkett, David [person]","010125457","Monograph","Language material ; Text","Volume","GBA279622","9780954071158","A dream come true : the life and times of a Lake District National Park ranger","","","","England","Kirkby Stephen","Hayloft Publishing","2002","","139 pages, illustrations (some colour), maps, portraits, 21 cm","","YK.2003.a.4822","Lake District National Park (England) ; Birkett, David ; Mountains--England--Lake District--Recreational use ; Park rangers--England--Lake District--Biography","Biography","English",""
"Birkinshaw, Bill","","person","","Lewin, Peter [person] ; Birkinshaw, Bill [person]","013067325","Monograph","Language material ; Text","Sheet","GBA622337","","Travelguides : a better walk : 6 glorious walks set to the south east of the Peak District National Park","Fringes of the Peak District","","","England","Little Eaton, Derby","Travelguides","2004-","","portfolios, colour maps, 22 cm","914.25110486","YK.2006.a.5283","Walking--England--Peak District--Guidebooks ; Trails--England--Peak District--Guidebooks ; Peak District (England)--Guidebooks","Guidebook","English","Description based on pack number 1 (2004) ; Title from cover of pack"
"Bishop, R. W. S. (Reginald William Snowden)","","person","","Bishop, R. W. S. (Reginald William Snowden) [person]","011983606","Monograph","Language material ; Text","Volume","GB9047285","9780704102422","Moorland doctor","My moorland patients","","","England","Maidstone","George Mann","1989","","239 pages, 22 cm","942.84082","YC.1990.a.9298","Yorkshire Dales National Park (England)--Social life and customs ; North Yorkshire--Dales--Social conditions--1901-","","English","Originally published as: My moorland patients : London : Murray, 1922"
"Blackmore, Michael","","person","","Blackmore, Michael [person] ; Brinore Tramroad Conservation Forum [organisation] ; Jones, John [person]","012943491","Monograph","Language material ; Text","Volume","GBA448227","","Walks and rides along the Brinore Tramroad : an early 19th century horse-drawn railway","","","","Wales","","Brinore Tramroad Conservation Forum","2003","","23 pages, illustrations (some colour), facsimiles, maps, 21 cm","","","Walking--Wales--Brecon Beacons--Guidebooks ; Brecon Beacons National Park (Wales)--Description and travel--Guidebooks","Guidebook","English","Cover title ; Text and drawings on inside covers"
"Blackmore, Michael","1938-","person","","Blackmore, Michael, 1938- [person] ; Van Laun, John [person] ; Brecon Beacons National Park Committee [organisation]","012687442","Monograph","Language material ; Text","Volume","GB7620581","9780905293004","The pattern of past industry in the National Park","","","","Wales","Brecon ; National Park Officer, Glamorgan Street, Brecon, Powys","Brecon Beacons National Park Committee","1976","","20 pages, illustrations, 1 map, 21 cm","609.42956","76/37677 ; BS.116/111","Brecon Beacons National Park (Wales) ; Industrial archaeology--Wales--Brecon Beacons National Park ; South Wales--National parks--Brecon Beacons National Park--Industrial antiquities","","English",""
"Blackmore, Michael","1938-","person","","Blackmore, Michael, 1938- [person] ; Van Laun, John [person]","015775088","Monograph","Language material ; Text","Volume","GBB136211","","The Clydach Gorge : industrial archaeological trails","","","","Wales","Abergavenny","Blorenge","2008","","80 pages, illustrations (some colour), maps (some colour), 21 cm","","","Trails--Wales, South ; Gorges--Wales, South ; Industrial archaeology--Wales, South","","English","'This booklet was first published by the Brecon Beacons National Park in 1979' - Preface"
"Blackmore, Michael","1938-","person","","Gwent (Wales), County Council [organisation] ; Blackmore, Michael, 1938- [person] ; Van Laun, John [person]","012687446","Monograph","Language material ; Text","Volume","GB8036991","9780905293042","The Clydach Gorge : industrial archaeology trails in a north Gwent valley","","","","Wales","Brecon ; Cwmbran ; National Park Officer, Glamorgan Street, Brecon, Powys","Brecon Beacons National Park Committee ; Gwent County Council","1979","","24, 4 pages (4 folded), illustrations, 2 colour maps, coat of arms, 21 cm","609.42995","BS.116/169","Wales--Antiquities--Guidebooks ; Gwent--Blaenau Gwent (District)--Industrial antiquities ; Industrial archaeology--Wales--Blaenau Gwent (Gwent) ; Blaenau Gwent (Gwent)--Description--Guidebooks ; Blaenau Gwent (Gwent)--Antiquities--Guidebooks","Guidebook","English",""
"Blacknall, Allan","","person","","Blacknall, Allan [person] ; Blacknall, Irene [person] ; Titchmarsh, Peter [person] ; Titchmarsh, David [person] ; Titchmarsh, Helen [person]","006732793","Monograph","Language material ; Text","Volume","GB8714009","9780711701564","The Yorkshire Dales by car","","The Jarrold 'White Horse' series","","England","Norwich","Jarrold","1985","Revised, by Allan and Irene Blacknall","33 pages, illustrations, maps, 21 cm","914.28404858","YC.1987.a.2361","North Yorkshire--National parks--Yorkshire Dales National Park--For motoring ; Yorkshire Dales National Park (England)--Guide-books","","English","Cover title ; Previous edition: 1983 ; Text and map on inside covers ; bibliography: p33. _ Includes index"
"Blacknall, Allan","","person","","Blacknall, Allan [person] ; Blacknall, Irene [person] ; Titchmarsh, Peter [person] ; Titchmarsh, David [person] ; Titchmarsh, Helen [person]","006732794","Monograph","Language material ; Text","Volume","GB8936707","9780711701571","The Yorkshire Dales by car","","","","England","","Jarrold","1985","Revised edition","32 pages","914.28404858","YC.1989.a.3822","North Yorkshire--National parks--Yorkshire Dales National Park ; Yorkshire Dales National Park (England)--Guide-books","","English",""
"Blacknall, Allan","","person","","Blacknall, Irene [person] ; Titchmarsh, Helen [person] ; Titchmarsh, Peter [person] ; Blacknall, Allan [person]","007399904","Monograph","Language material ; Text","Volume","GB8748877","9780711702608","The Pembrokeshire coast by car","","The Jarrold white horse series","","England","Norwich","Jarrold","1986","","32 pages, illustrations, maps, 21 cm","914.296204858","YC.1987.a.10809","Dyfed--Preseli (District)--& South Pembrokeshire (District)--National parks--Pembrokeshire Coast National Park ; Pembrokeshire Coast National Park (Wales)--Guide-books","","English","Compilers: Peter and Helen Titchmarsh ; Cover title ; Includes index ; Map and text on inside covers ; revised edition / by Allan and Irene Blacknall. Previous edition: 1983"
"Blacknall, Irene","","person","","Blacknall, Allan [person] ; Blacknall, Irene [person] ; Titchmarsh, Peter [person] ; Titchmarsh, David [person] ; Titchmarsh, Helen [person]","006732793","Monograph","Language material ; Text","Volume","GB8714009","9780711701564","The Yorkshire Dales by car","","The Jarrold 'White Horse' series","","England","Norwich","Jarrold","1985","Revised, by Allan and Irene Blacknall","33 pages, illustrations, maps, 21 cm","914.28404858","YC.1987.a.2361","North Yorkshire--National parks--Yorkshire Dales National Park--For motoring ; Yorkshire Dales National Park (England)--Guide-books","","English","Cover title ; Previous edition: 1983 ; Text and map on inside covers ; bibliography: p33. _ Includes index"
"Blacknall, Irene","","person","","Blacknall, Allan [person] ; Blacknall, Irene [person] ; Titchmarsh, Peter [person] ; Titchmarsh, David [person] ; Titchmarsh, Helen [person]","006732794","Monograph","Language material ; Text","Volume","GB8936707","9780711701571","The Yorkshire Dales by car","","","","England","","Jarrold","1985","Revised edition","32 pages","914.28404858","YC.1989.a.3822","North Yorkshire--National parks--Yorkshire Dales National Park ; Yorkshire Dales National Park (England)--Guide-books","","English",""
"Blacknall, Irene","","person","","Blacknall, Irene [person] ; Titchmarsh, Helen [person] ; Titchmarsh, Peter [person] ; Blacknall, Allan [person]","007399904","Monograph","Language material ; Text","Volume","GB8748877","9780711702608","The Pembrokeshire coast by car","","The Jarrold white horse series","","England","Norwich","Jarrold","1986","","32 pages, illustrations, maps, 21 cm","914.296204858","YC.1987.a.10809","Dyfed--Preseli (District)--& South Pembrokeshire (District)--National parks--Pembrokeshire Coast National Park ; Pembrokeshire Coast National Park (Wales)--Guide-books","","English","Compilers: Peter and Helen Titchmarsh ; Cover title ; Includes index ; Map and text on inside covers ; revised edition / by Allan and Irene Blacknall. Previous edition: 1983"
"Blakelock, Eleanor","","person","author","English Heritage, publisher [organisation] ; Hatton, Gareth [person] ; Paynter, Sarah Clare, author [person] ; Blakelock, Eleanor, author [person]","016235395","Monograph","Language material ; Text","Volume","GBB314267","","Plas Tan y Bwlch Snowdonia National Park : bloomery iron smelting - experimentation and archaeology","","Research report series","25-2012 [Research report series]","England","Portsmouth","English Heritage","2012","","52 pages, illustrations (black and white and colour), 30 cm","930.1028","7769.542960 ; OPA.2013.x.479","Experimental archaeology ; Iron slag--Research ; Plas Tan y Bwlch ; Iron smelting--Research","","English","NGR: sheet 655 406 ; Plas Tan y Bwlch Snowdonia National Park - above title ; Technology report"
"Blakes (Norfolk Broads Holidays) (Firm)","","organisation","","Blakes (Norfolk Broads Holidays) (Firm) [organisation]","000369545","Serial","Language material ; Text","Volume","","","Norfolk Broads Holidays Afloat","Norfolk Broads holidays afloat","","","England","London","Blake","1926-","","volumes, illustrations, 35 cm","797.1094261","W.P.9706","Vacations--England--Broads, The ; Broads, The (England)--Tours ; Blakes (Norfolk Broads Holidays) (Firm)--Periodicals ; Boats and boating--England--Broads, The","Periodical","English","Continues: Yachting Holidays ; Latest issue consulted: 1974 ; The 1928 issue is of the second edition"
"Blakes (Norfolk Broads Holidays) (Firm)","","organisation","","Blakes (Norfolk Broads Holidays) (Firm) [organisation]","014467426","Monograph","Language material ; Text","Volume","","","Blakes adventure holidays on the Norfolk Broads","","","","England","Wroxham, Norfolk","Blakes ; Norfolk Broads Holidays","1970","","103 pages, illustrations (chiefly colour), colour maps, colour portraits, 30 cm","","YD.2008.b.214","Vacations--England--Broads, The ; Broads, The (England)--Tours ; Boats and boating--England--Broads, The","","English","'Wonderful holidays afloat for 1970.' ; Includes index"
"Blakesley, David","1959-","person","author","Blakesley, Tharada, author [person] ; Blakesley, David, 1959-, author [person] ; Autism and Nature (Social enterprise) [organisation]","018186120","Monograph","Language material ; Still image ; Text","Volume","GBB779825","9780993471018","Exploring the New Forest by bus : a guide for families with children with autism","","","","United Kingdom","","Autism & Nature","2016","","24 pages, colour illustrations, 21 cm","914.2275048610875","YKL.2018.a.16493","Nature study--England--New Forest National Park ; Bus travel--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks ; Autistic children--Travel--England--New Forest National Park","Guidebook","English",""
"Blakesley, Tharada","","person","author","Blakesley, Tharada, author [person] ; Blakesley, David, 1959-, author [person] ; Autism and Nature (Social enterprise) [organisation]","018186120","Monograph","Language material ; Still image ; Text","Volume","GBB779825","9780993471018","Exploring the New Forest by bus : a guide for families with children with autism","","","","United Kingdom","","Autism & Nature","2016","","24 pages, colour illustrations, 21 cm","914.2275048610875","YKL.2018.a.16493","Nature study--England--New Forest National Park ; Bus travel--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks ; Autistic children--Travel--England--New Forest National Park","Guidebook","English",""
"Blamire, Richmond","","person","publisher","Merigot, F., artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017706973","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","CONISTON LAKE : and Village","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand London","1792","","1 print, etching and aquatint, platemark 32.8 x 46.7 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017706485","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","BELLEISLE LODGE : On the great Island in Windermere, belonging to John Christian Curwen Esq.r to whom these Twenty Views of the Lakes in ; Cumberland &c. are most humbly inscribed, by his most obedient and much obliged Humble Ser.t John Smith","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R. Blamire, Strand, London","1791","","1 print, etching and aquatint, platemark 32.8 x 46.6 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Country houses in art ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017706879","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","BUTTERMERE LAKE : taken a little above the Village","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R.d Blamire, Strand London","1791","","1 print, etching and aquatint, platemark 32.8 x 46.6 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017706895","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","WYBURN LAKE : at the Lower End","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R.d Blamire, Strand London","1791","","1 print, etching and aquatint, platemark 32.8 x 46.6 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017706903","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","ELTER WATER : in Langdale","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R.d Blamire, Strand London","1791","","1 print, etching and aquatint, platemark 32.6 x 46.6 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017706916","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","LODORE WATER-FALL","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 32.8 x 47.0 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Cattle in art ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017706954","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","THE FERRY ON WINDERMERE LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 32.5 x 46.4 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017706999","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","PATERDALE GRANGE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 33.0 x 47.0 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707011","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","ENTRANCE into BORRODALE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R Blamire. Strand, London","1792","","1 print, etching and aquatint, platemark 32.6 x 46.6 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707016","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","ULLS-WATER in PATERDALE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; Publish'd ; R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 32.5 x 46.6 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
