"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"307.12","012354074","Monograph","Language material ; Text","Volume","","","North York Moors National Park","","organisation","","North York Moors National Park [organisation]","North York Moors local plan","","","","","","North York Moors National Park","1991","","","fGPC/097","Regional planning ; Urban planning & rural planning","","English",""
"307.12","012359328","Monograph","Language material ; Text","Volume","","9781855223837","Chorlton, Edward","","person","","Dartmoor National Park Authority [organisation] ; Chorlton, Edward [person] ; Atkinson, Nick [person] ; Devon (England), County Council [organisation]","Dartmoor National Park : traffic management strategy","","","","","","Devon, County Council","1994","","","OP-LG/7981","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"307.12","012364972","Monograph","Language material ; Text","Volume","","","Oxford Centre for Tourism and Leisure Studies","","organisation","","Oxford Centre for Tourism and Leisure Studies [organisation]","North York Moors National Park : Impact of Car Usage Study 1995/95","","","","","","Oxford Centre for Tourism & Leisure Studies","1996","","","98/11730","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"307.12","012369582","Monograph","Language material ; Text","Volume","","9780907480754","North York Moors National Park","","organisation","","North York Moors National Park [organisation]","North York Moors National Park : management plan","","","","","","North York Moors National Park","1998","","","GPE/3598","Regional planning ; Geography ; Urban planning & rural planning","","English",""
"307.12094124","013368476","Monograph","Language material ; Text","Volume","","","","","","","Cairngorms National Park Authority [organisation]","Cairngorms National Park local plan : consultative draft October 2005","","","","Scotland","Grantown on Spey","Cairngorms National Park Authority","2005","","140 pages, 26 colour maps, 30 cm","m06/.10339","","","English","Title from cover"
"307.12120942275","015394773","Serial","Language material ; Text","Volume","","","New Forest National Park Authority","","organisation","","New Forest National Park Authority [organisation]","Annual monitoring report : Local development framework","","","","England","Lymington","New Forest National Park Authority","2006-2012","","volumes, 30 cm","ZK.9.b.27191","New Forest National Park Authority--Planning--Periodicals","Periodical","English","2007 report covers period 1 April 2006 to 31 March 2007 ; Continued by: New Forest National Park Authority. Monitoring report (New Forest National Park Authority) ; Continues: Monitoring report: New Forest District local plan first alteration & New Forest District and New Forest National Park Authority local development frameworks ; Each report covers the period 1 April ... to 31 March"
"307.1212094231","015829299","Monograph","Language material ; Text","Volume","GBB222312","","","","","","Wiltshire (England), Council [organisation] ; New Forest National Park Authority [organisation]","Landford village design statement","","","","England","Wiltshire","New Forest National Park Authority","2011","","1 volume (various pagings), colour illustrations, colour maps, 30 cm","YK.2012.b.4522","Rural development--England--Landford ; Regional planning--England--Landford","","English","Title from cover"
"307.1412","014834638","Monograph","Language material ; Text","Volume","GBB047754","9780901428837","Parker, Ken","","person","author","Peak District National Park Authority [organisation] ; Parker, Ken, author [person] ; Riley, Alison [person]","Special places, special people : the story of BESST - Business and the Environment linked through Small Scale Tourism : a pioneering international rural development project 2003-2008 : incorporating BESST practice guides and lessons learned","","","","England","Bakewell","Peak District National Park Authority","2008","","118 pages, illustrations (some colour), 31 cm","YK.2010.b.3447","Business and the Environment linked through Small Scale Tourism ; Rural development projects--Norway--Fyresdal herad ; Rural development projects--England--Peak District National Park ; Hylte (Halland, Sweden)--Economic conditions ; Rural development projects--Sweden--Hylte ; Peak District National Park (England)--Economic conditions ; Fyresdal herad (Norway)--Economic conditions","","English","Written by Ken Parker and Alison Riley"
"307.1412094142","015401644","Monograph","Language material ; Text","Volume","GBA9A3547","","Scottish Natural Heritage (Agency)","","organisation","","Scottish Natural Heritage (Agency) [organisation]","Landscape character assessment. Loch Lomond and Trossachs National Park","","","","Scotland","Inverness","","2009","","viii, 182 pages, illustrations (some colour), maps (some colour), 30 cm + 1 foldout colour map","OPA.2010.x.1201","Loch Lomond and the Trossachs National Park (Scotland)--Description and travel ; Landscape assessment--Scotland--Loch Lomond and the Trossachs National Park","","English","Cover title"
"307.346094278","012476911","Monograph","Language material ; Text","Volume","GB9202627","9780905404455","Cumbria (England), County Council","","organisation","","Lake District National Park Authority [organisation] ; Cumbria (England), County Council [organisation]","Development for the 1990s : Cumbria and Lake District Joint Structure Plan 1991 : draft for consultation","Cumbria and Lake District joint structure plan","","","England","Kendal","Cumbria County Council ; Lake District National Park Authority","1991","","51 pages, 27 cm","YK.1992.b.8104","Structure planning ; Regional planning--England--Lake District ; Regional planning--England--Cumbria ; Lake District National Park (England) ; Cumbria (England)","","English",""
"307.346094278","013019719","Monograph","Language material ; Text","Volume","","","","","","","Lake District National Park Authority [organisation] ; Cumbria (England), County Council [organisation]","Planning Cumbria : Cumbria and Lake District joint structure plan 2001-2016 : proposed changes, June 2004","","","","England","Carlisle ; Kendal","Cumbria County Council ; Lake District National Park Authority","2004","","78, 23 pages, colour maps, 30 cm","m04/33345","","","English","Includes 4 loose-leaf inserts ; Title from cover"
"307.346094278","013347777","Monograph","Language material ; Text","Volume","","","","","","","Lake District National Park Authority [organisation] ; Cumbria (England), County Council [organisation]","Planning Cumbria : Cumbria and Lake District joint structure plan 2001-2016 : examination in public : report of the panel","","","","England","Carlisle ; Kendal","Cumbria County Council ; Lake District National Park Authority","2004","","211 pages, 30 cm","m05/.38761","","","English","Title from cover"
"309.14288","010999559","Monograph","Language material ; Text","Volume","GB8129617","","","","","","","The Local community","","Working paper / Northumberland National Park","6 [Working paper / Northumberland National Park]","England","National Park Officer, Bede House, All Saints Centre, Newcastle upon Tyne ; Newcastle upon Tyne","Northumberland National Park & Countryside Committee","1976","","15 pages, 5 pages of plates, maps, 30 cm","","Northumberland National Park (England)--Social conditions ; Northumberland--National parks--Northumberland National Park--Social conditions--For environment planning","","English",""
"320","010445315","Monograph","Language material ; Text","Volume","","9781853972904","Scottish Natural Heritage (Agency)","","organisation","","Scottish Natural Heritage (Agency) [organisation]","A proposal for a Cairngorms National Park : a consultation of the area, powers and representation for the proposed National Park; 'a new way of caring for a special place'","","","","","","Scottish Natural Heritage","2000","","","Vm00/50930","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Public administration ; Sports ; Tourism ; Political science ; Scotland; Scottish; Wildlife; Conservation","","English",""
"330.9425110858","007446481","Monograph","Language material ; Text","Volume","GB8513536","9780907543312","Parker, Ken","","person","author","Parker, Ken, author [person] ; Peak Park Joint Planning Board, Project Steering Group [organisation]","'A tale of two villages' : the story of the integrated rural development experiment in the Peak District, 1981-84","","","","England","Bakewell","Peak Park Joint Planning Board ; Project Steering Group","1984","","119 pages, illustrations (some colour), maps, 1 portrait, 30 cm","X.805/6346","Rural development--England--Peak District ; England--Peak District--Rural regions--Economic development ; Peak District (England)--Economic conditions","","English",""
"331","011077607","Monograph","Language material ; Text","Volume","","9780906421277","Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","Interim policy statements : 1. Housing 2. Employment 3. Conserving the character of settlements 4. Conservation and the use of traditional buildings","","","","","","Lake District National Park Authority","1991","","","q97/20391","Urban planning & rural planning ; Regional planning ; Labor ; Labour studies ; Housing ; Housing provision & property","","English",""
"331.76133311094278","013011585","Monograph","Language material ; Text","Volume","GBA530197","9780952666585","Richardson, Shiela","","person","","Richardson, Shiela [person]","Putting something back : a celebration of 50 years service of the Lake District voluntary wardens. 1954 - 2004","","","","England","Workington","Lake District Voluntary Wardens Service & Mill Field Publications","2004","","96 pages, illustrations, maps, portraits, 30 cm","YK.2005.b.672","Lake District National Park (England) ; Volunteer workers in parks--England--Lake District National Park ; Park rangers--England--Lake District National Park","","English",""
"333","007829217","Monograph","Language material ; Text","Volume","","","","","","","Lake District National Park Authority [organisation] ; Cumbria (England), County Council [organisation]","Planning Cumbria : Cumbria and Lake District Joint Structure Plan, 2001-2016 deposit plan, May 2003","","","","England","Carlisle","Cumbria County Council","2003","","72 pages, illustrations, colour maps, 30 cm","m03/28270","Regional planning ; Urban planning & rural planning","","English","Co-published by: Lake District National Park Authority ; Title from cover"
"333.3220942841","012688411","Monograph","Language material ; Text","Volume","GB7705919","9780905455044","Raistrick, Arthur","","person","","Raistrick, Arthur [person] ; Yorkshire Dales National Park Committee (North Yorkshire, England) [organisation]","Monks & shepherds in the Yorkshire Dales","","","","England","Leyburn ; Yorebridge House, Bainbridge, Leyburn, N Yorkshire","Yorkshire Dales National Park Committee","1976","","3, 22, 1 page, illustrations, 1 map, 21 cm","77/13533 ; BS.116/153","Bolton Abbey (Bolton Abbey, England) ; Fountains Abbey (North Yorkshire, England) ; Church property--England--Craven, N. Yorkshire--History ; Yorkshire Dales (England)--Church history ; North Yorkshire--Craven (District)--Ecclesiastical estates--Estates of Fountains Abbey, Ripon--1150-1780","","English",""
"333.7","012346454","Monograph","Language material ; Text","Volume","","","","","","","Lake District National Park Authority [organisation]","National Parks - environmentally favoured areas? : A proposal for a new agricultural policy to achieve the aims of National Park designation","","","","England","Kendal","Lake District National Park","1988","","","88/24232","Plant diseases ; Conservation of National Parks ; Horticulture ; Agronomy ; Agricultural engineering ; Environmental sciences","","English",""
"333.7094284","016277573","Monograph","Language material ; Text","Volume","GBB3B2471","9781904622260","","","","","North York Moors National Park Authority, publisher [organisation]","North York Moors National Park : management plan : a wider view","","","","England","Helmsley, York","North York Moors National Park Authority","2012","","119 pages, colour illustrations, maps (black and white and colour), 21 x 30 cm","LC.31.a.13643","North York Moors National Park (England)--Management","","English",""
"333.72","016764576","Monograph","Language material ; Text","Online resource","","","Austin, Richard","","person","author","Austin, Richard, author [person] ; University of Newcastle upon Tyne [organisation]","The policy and practice of protected area management : partnership working in Northumberland National Park","","","","United Kingdom","","University of Newcastle Upon Tyne","2013","","1 online resource","603400","","","English",""
"333.72","018326633","Monograph","Language material ; Text","Online resource","","","Lovegrove, Alexander Thomas","","person","author","Lovegrove, Alexander Thomas, author [person] ; Bournemouth University [organisation]","Management and monitoring in protected areas : a case study in the New Forest National Park : the effects upon valley mire and heathland communities","","","","United Kingdom","","Bournemouth University","2017","","1 online resource","707681","","","English",""
"333.72","018855144","Monograph","Language material ; Text","Online resource","","","Gosal, Arjan","","person","author","Gosal, Arjan, author [person] ; Bournemouth University [organisation]","A multifaceted approach to spatial analysis of ecosystem services : a case study in the New Forest National Park","","","","United Kingdom","","Bournemouth University","2018","","1 online resource","738145","","","English",""
"333.7209411","014628085","Monograph","Language material ; Text","Volume","GBA871852","","","","","","Scottish Natural Heritage (Agency) [organisation] ; Land Use Consultants (Great Britain) [organisation]","Monitoring of development patterns in and around national park areas : July 2007 update, [final report and appendices]","","Commissioned report","number 242 [Commissioned report]","Scotland","Inverness","Scottish Natural Heritage","2008","","14, 112 pages, illustrations (chiefly colour), colour maps, 30 cm","OPA.2011.x.1264","Cairngorms National Park (Scotland)--Management ; Cairngorms National Park (Scotland)--Planning ; Loch Lomond and the Trossachs National Park (Scotland)--Management ; Loch Lomond and the Trossachs National Park (Scotland)--Planning","","English","' (ROAME number R06AA504) .'"
"333.720941158","019140677","Serial","Language material ; Text","Online resource","","","","","","","North East Mountain Trust [organisation]","Mountain views","","","","Scotland","Aberdeen","NEMT","","","illustrations (colour)","","Cairngorms National Park (Scotland)--Periodicals ; Nature conservation--Scotland--Grampians--Periodicals ; Outdoor recreation--Scotland--Grampians--Periodicals ; North East Mountain Trust--Periodicals","Periodical","English","Additional physical form: Print version -2018. Mountain views"
"333.720942353","013030884","Monograph","Language material ; Text","Volume","","9780905981352","","","","","Dartmoor National Park Authority [organisation]","Dartmoor National Park local plan : first review 1995-2011 : adopted version","","","","England","Newton Abbot","Dartmoor National Park Authority","2004","","184 pages, colour illustrations, colour maps, 30 cm","Vm04/50464","","","English","Includes map in pocket attached to inside back cover"
"333.73","015937561","Monograph","Language material ; Text","Online resource","","","Tinch, Dugald","","person","","Tinch, Dugald [person] ; University of Stirling [organisation]","Upland landscapes : what do people want, who wants it and can they have it all?","","","","United Kingdom","","University of Stirling","2009","","pages, digital, pdf file","529177","","","English",""
"333.73094142","015628408","Monograph","Language material ; Text","Volume","GBB139666","9781853976285","","","","","Scottish Natural Heritage (Agency) [organisation] ; Loch Lomond and the Trossachs National Park Authority [organisation]","The special landscape qualities of the Loch Lomond and the Trossachs National Park","","Commissioned report","number 376 [Commissioned report]","Scotland","Inverness","","2010","","iii, 63 pages, colour illustrations, 2 colour maps, 30 cm","YK.2011.b.5538","Loch Lomond and the Trossachs National Park (Scotland) ; Landscape assessment--Scotland--Loch Lomond and the Trossachs National Park","","English","' (iBids and Project number 648) .' ; 'Produced in partnership with The Loch Lomond and the Trossachs National Park Authority.'--T.p"
"333.73130942275","015384428","Monograph","Language material ; Text","Volume","GBB2B3461","","New Forest Commoning Review Group","","organisation","","New Forest Commoning Review Group [organisation]","New Forest Commoning Review 2007 : full report : a commoner led review of current issues relating to the practice of commoning within the New Forest National Park","","","","England","Lymington","New Forest National Park Authority","2007","","94 pages, colour illustrations, 30 cm","YK.2012.b.11170","Pastoral systems--England--New Forest National Park ; Land use surveys--England--New Forest National Park ; Land use--England--New Forest National Park ; Ecological surveys--England--New Forest National Park","","English","Title from cover"
"333.7315094124","007248974","Serial","Language material ; Text","Volume","GB9731758","","Cairngorms Partnership","","organisation","","Cairngorms Partnership [organisation]","Annual report : incorporating the audited statement of accounts","","","","England","Grantown-on-Spey","Cairngorms Partnership","1995-2003","","8 volumes, colour maps, colour portraits, 30 cm","ZK.9.b.10689","Cairngorms Partnership--Periodicals","Periodical","English","Continued by: Cairngorms National Park Authority. Annual report and accounts"
"333.7316","014695926","Monograph","Language material ; Text","Volume","GBA8A0203","","","","","","Scottish Natural Heritage (Agency) [organisation]","Nature conservation value of soils : bringing functionality into practice","","Commissioned report","number 228 [Commissioned report]","Scotland","Perth","","2008","","viii, 122 pages, colour illustrations, colour maps, 30 cm","OPA.2011.x.1681","Soil conservation--Scotland--Cairngorms National Park","","English","' (ROAME number F05AC101) .'"
"333.7416094142","014518208","Monograph","Language material ; Text","Volume","GBA816967","","Headley, A. D. (Alistair D.)","","person","","Scottish Natural Heritage (Agency) [organisation] ; Headley, A. D. (Alistair D.) [person]","An assessment and evaluation of herbivore impacts on alpine heaths and grasslands within the Ben More-Stob Binnein site of Special Scientific Interest","","Commissioned report","number 233 [Commissioned report]","Scotland","Inverness","Scottish Natural Heritage","2007","","iv, 31 pages, colour illustrations, colour maps, 30 cm","YK.2008.b.6441","Loch Lomond and the Trossachs National Park (Scotland) ; Vegetation--Effect of trampling on--Scotland--Loch Lomond and the Trossachs National Park ; Deer--Behavior--Environmental aspects--Scotland--Loch Lomond and the Trossachs National Park ; Grazing--Environmental aspects--Scotland--Loch Lomond and the Trossachs National Park ; Herbivores--Behavior--Environmental aspects--Scotland--Loch Lomond and the Trossachs National Park ; Grassland conservation--Scotland--Loch Lomond and the Trossachs National Park ; Browsing--Environmental aspects--Scotland--Loch Lomond and the Trossachs National Park","","English","Publisher's number: ROAME number RO6AC208"
"333.75","016845547","Monograph","Language material ; Text","Online resource","","","Marsden, Kenneth Jeffrey","","person","author","Bath Spa University [organisation] ; Marsden, Kenneth Jeffrey, author [person]","The New Forest National Park : seeing landscape differently","","","","United Kingdom","","Bath Spa University","2013","","1 online resource","607638","","","English",""
"333.75094124","014592784","Monograph","Language material ; Text","Volume","GBA871918","9780954878276","","","","","Cairngorms National Park Authority [organisation]","The forest of the Cairngorms : Cairngorms National Park : forest and woodland framework","Forest and woodland framework : Cairngorms National Park","","","Scotland","Grantown-on-Spey","Cairngorms National Park Authority","2008","","53 pages, colour illustrations, colour maps, 30 cm","YK.2011.b.9182","Forest conservation--Scotland--Cairngorms National Park ; Cairngorms National Park (Scotland) ; Forests and forestry--Scotland--Cairngorms National Park","","English","Cover title"
"333.75094124","015988107","Monograph","Language material ; Text","Volume","GBB205811","9780855387976","Stewart, Mairi","","person","","Stewart, Mairi [person] ; Forestry Commission Scotland [organisation]","'No rivalry but different' : Glenmore and Rothiemurcus in the 20th century","","Touchwood history","","Scotland","Edinburgh","Forestry Commission Scotland","2010","","64 pages, illustrations (chiefly colour), colour map, portraits (some colour), 20 cm","YK.2012.a.20931","Forests and forestry--Scotland--Cairngorms National Park--History--20th century","","English","Text by Mairi Stewart ; Title from cover"
"333.75094226","018317084","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB855913","9780957245228","Mills, C. M. (Coralie M.)","","person","author","Mills, C. M. (Coralie M.), author [person] ; South Downs National Park Authority [organisation] ; Brown, Gordon, Forestry consultant, author [person] ; Rocks-Macqueen, Doug, author [person]","Secrets of the High Woods, South Downs National Park : guidelines for the stewardship of heritage assets in forestry management","","","","England","Sheffield","Landward Research","2017","","78 pages, black and white illustrations, colour maps, 30 cm","YK.2019.b.145","South Downs National Park (England) ; High Woods Area (East Sussex, England)--History ; Forest management--England--High Woods Area (East Sussex)","","English","Published on behalf of South Downs National Park Authority"
"333.7516","014658526","Monograph","Language material ; Text","Online resource","","","Winn, Jonathan","","person","","Winn, Jonathan [person] ; University of Sheffield [organisation]","Strategic woodland conservation planning : landscape ecology, landscape assessment and geographic information systems : a case study examining habitat quality modelling and the prediction of upland oakwood biodiversity within 'clough' landforms of the Dark Peak Natural Area, Peak District National Park, UK","","","","England","Sheffield","University of Sheffield","2007","","2 volumes, 31 cm","444918","","","English",""
"333.75160942275","014795657","Monograph","Language material ; Text","Sheet","GBA8C7536","","","","","","New Forest National Park Authority [organisation]","Conservation in the New Forest National Park","","","","England ; United Kingdom","","New Forest National Park Authority","2007","","2 folded sheets, colour illustrations, 1 colour map, 30 cm","YK.2008.b.6231 ; YK.2008.b.6232","Climatic changes--England--New Forest (Forest) ; Nature conservation--England--New Forest (Forest)","","English",""
"333.75160942275","014795676","Monograph","Language material ; Text","Sheet","GBA8C7542","","","","","","New Forest National Park Authority [organisation]","Wildlife of the New Forest National Park","","","","England ; United Kingdom","","New Forest National Park Authority","2007","","2 folded sheets, colour illustrations, 30 cm","YK.2008.b.6229 ; YK.2008.b.6230","New Forest (England : Forest)--Management ; Habitat (Ecology)--England--New Forest (Forest)","","English",""
"333.76160942617","012690369","Monograph","Language material ; Text","Volume","GB9494511","9781855261594","Utting, Jan","","person","","Randall, Nadine [person] ; Rycroft, Ian [person] ; Norfolk Inspection Advice and Training Services [organisation] ; Utting, Jan [person] ; Norfolk (England), County Council [organisation]","The broads : a study in land use","","National Curriculum geography. Key stage 3","","England","Norwich","Norfolk Educational Press","1994","","1 volume (loose-leaf), chiefly colour illustrations, maps, 31 cm + 1 video cassette","Cup.938/255 ; LB.31.c.6593","Human geography--Study and teaching ; Norfolk (England) ; Land use--England--Broads, The ; Broads, The (England) ; Nature conservation--Economic aspects--England--Broads, The ; Economic geography--Study and teaching ; Tourism--Environmental aspects--England--Broads, The ; Countryside--Conservation","","English","At foot of cover: Inspection, Advice and Training Services, Norfolk County Council ; In ring binder ; Video cassette in front pocket"
"333.78","007677119","Monograph","Language material ; Text","Volume","GB7117016","9780117503977","","","","","Great Britain, Department of the Environment [organisation] ; Great Britain, Welsh Office [organisation]","National Parks and Access to the Countryside Act 1949 and the Countryside Act 1968: explanatory memorandum on grants","","","","England","London","H.M.S.O","1971","","24 pages, 25 cm","","Recreation areas--Great Britain ; Great Britain--Facilities in the countryside--Provision by local authorities--Government incentives--Grants","","English","At head of title: Department of the Environment [and] Welsh Office"
"333.78","010553838","Monograph","Language material ; Text","Volume","GB8132486","","","","","","Dartmoor Preservation Association [organisation] ; Exmoor Society [organisation]","The Crisis on Dartmoor and Exmoor","","","","England","Oxford Gardens, Mannamead, Plymouth, Devon PL3 4SF ; Plymouth","Dartmoor Preservation Association ; Exmoor Society","1980","","8 pages, illustrations, maps, 21 cm","X.809/48918","Landscape protection--England--Exmoor National Park ; Devon--Dartmoor--National parks--Dartmoor National Park--Conservation ; Exmoor National Park (England) ; England--Exmoor--National parks--Exmoor National Park--Conservation ; Landscape protection--England--Dartmoor National Park ; Dartmoor National Park (England)","","English",""
"333.78","010957665","Monograph","Language material ; Text","Volume","GB7117727","9780801812446","Johnson, Warren A.","","person","","Johnson, Warren A. [person]","Public parks on private land in England and Wales","","","","England ; United States of America","Baltimore ; Brook Street, W1Y 1AR ; London","Johns Hopkins Press","1971","","xv, 136 pages, illustrations, maps, 24 cm","","National parks--Great Britain--Economic aspects--Study examples--Peak District National Park ; Recreation areas--Great Britain","","English",""
"333.78","010999555","Monograph","Language material ; Text","Volume","GB8129613","","","","","","","Recreation in the Northumberland National Park","","Working paper / Northumberland National Park","5 [Working paper / Northumberland National Park]","England","National Park Officer, Bede House, All Saints Centre, Newcastle upon Tyne ; Newcastle upon Tyne","Northumberland National Park & Countryside Committee","1976","","35 pages, illustrations, maps, forms, 30 cm","","Northumberland--National parks--Northumberland National Park--Recreation facilities--For environment planning ; Northumberland National Park (England)--Recreational use","","English",""
"333.78094124","013387388","Monograph","Language material ; Text","Volume","","","","","","","Cairngorms National Park Authority [organisation]","Strategic environmental assessment environmental report 2005 December 2005 : of the consultative draft Cairngorms local plan","","","","Scotland","Ballater","Cairngorms National Park Authority","2005","","171 pages, maps, 30 cm","m06/.12663","Land use--Scotland--Cairngorms--Planning--Environmental aspects ; Environmental impact analysis ; Cairngorms National Nature Reserve (Scotland)","","English","Published October 2005"
"333.78094124","017126108","Monograph","Cartographic image ; Language material ; Text","Volume","","9781853971402","Scottish Natural Heritage (Agency)","","organisation","author ; publisher","Scottish Natural Heritage (Agency), author ; publisher [organisation] ; Scotland, Scottish Executive [organisation]","The Report on the proposal for a National Park in the Cairngorms. Report 1. 'A new way of caring for a special place'","New way of caring for a special place","","","Scotland","Aberdeen","Scottish Natural Heritage","2001","","110 pages, colour maps, 30 cm","YD.2015.b.768","National parks and reserves ; National parks and reserves--Scotland","","English","'This Report has been published by Scottish National Heritage on behalf of the Scottish Executive under Section 3 of the National Parks (Scotland) Act 2000.' ; Includes 3 folded maps loosely inserted in back pocket"
"333.7809423592","010535568","Monograph","Language material ; Text","Volume","GB7720087","","Devon (England), Planning Department, Rural and Recreation Section","","organisation","","Devon (England), Planning Department, Rural and Recreation Section [organisation]","Bickleigh Vale recreation study","","","","England","County Hall, Exeter, Devon ; Exeter","Department","1977","","1, volumes, 54 pages, illustrations, maps, 1 colour plan, 30 cm","X.702/5430","Recreational surveys--England--Devon ; Regional planning--England--Devon ; Devon--Bickleigh Vale--Recreation facilities ; Outdoor recreation--England--Devon","","English",""
"333.78094251","009939925","Monograph","Language material ; Text","Volume","GB7213776","9780901428196","Peak Park Planning Board","","organisation","","Peak Park Planning Board [organisation] ; Burrell, Theo [person] ; Edwards, Jenny, 1944- [person]","What future for the Peak National Park?","","","","England","Aldern House, Baslow Road, Bakewell, Derbyshire DE4 1AE ; Bakewell","Peak Park Planning Board","1972","","39 pages, illustrations, maps, 21 cm","W76/8347 ; X.319/5505","Peak District National Park","","English",""
"333.78094251","012244500","Monograph","Language material ; Text","Volume","GB7018922","9780901428073","Peak Park Planning Board","","person","","Saunders, Frank [person] ; Peak Park Planning Board [person]","The Peak: the story of a national park","","","","England","Bakewell","Peak Park Planning Board","1970","","45 pages, illustrations, 2 colour maps, 21 x 30 cm","","Peak District National Park","","English",""
"333.780942511","011985561","Monograph","Language material ; Text","Volume","GB8139708","9780704403550","Parry, M. L. (Martin Lewis)","1945-","person","","Parry, M. L. (Martin Lewis), 1945- [person]","A framework for land use planning in moorland areas : pilot survey in the Peak District National Park","","Occasional publication / Department of Geography, University of Birmingham","number 4 [Occasional publication / Department of Geography, University of Birmingham]","England","Birmingham","Department of Geography, University of Birmingham","1977","","23 pages, 17 pages of plates, illustrations, maps, 30 cm","X.805/1971","England--Peak District--National parks--Peak National Park--Heathland--Land use--Planning ; Moors and heaths--England ; Land use, Rural--England--Peak District National Park--Planning ; Moors and heaths--England--Peak District National Park ; Land use, Rural--England--Planning ; Peak District National Park (England)","","English",""
"333.780942617","011180796","Monograph","Language material ; Text","Volume","GB8336390","","Broads Authority, Recreation Working Group","","organisation","","Broads Authority, Recreation Working Group [organisation]","Towards a recreation strategy for Broadland : report of the Recreation Working Group","","BA SMP","7 [BA SMP]","England","Norwich ; Thorpe Lodge, Yarmouth Road, Norwich NR7 0DU","Broads Authority","1981","","66 pages, illustrations, 30 cm","X.622/16513","Norfolk Broads--Recreation facilities ; Broads, The (England)--Recreational use","","English",""
"333.780942748","011605064","Monograph","Language material ; Text","Volume","GB7222137","9780901350879","Statham, Derek Cyril","","person","","Statham, Derek Cyril [person]","Land use changes in the moorlands of the North York Moors National Park","","University working papers / Centre for Environmental Studies","16 [University working papers / Centre for Environmental Studies]","England","Cambridge Terrace, NW1 4JL ; London","Centre for Environmental Studies","1972","","34, 6 pages, maps, 30 cm","","North York Moors National Park (England) ; Land--England--North York Moors National Park ; North York Moors National Park--Land use, 1933-1971","","English",""
"333.780942846","009916847","Serial","Language material ; Text","Volume","GBA307643","","North York Moors National Park Authority","","organisation","","North York Moors National Park Authority [organisation]","Best value performance plan : incorporating annual report","Best value performance plan (North York Moors National Park Authority)","","","England","Helmsley ; Old Vicarage, Bondgate, Helmsley, York YO62 5BP","North York Moors National Park Authority","2000-2007","","volumes, illustrations, maps, 30 cm","ZK.9.b.18539","North York Moors National Park Authority--Periodicals ; North York Moors (England)--Periodicals","Periodical","English","Continued in part by: North York Moors National Park Authority. Annual performance plan and report ; Continues: North York Moors National Park Authority. Annual report (North York Moors National Park) ; Description based on: 2001 issue"
"333.780942925","013885190","Monograph","Language material ; Text","Volume","","","Edwards, G. Rhys","","person","","Edwards, G. Rhys [person] ; Great Britain, Countryside Commission [organisation] ; Snowdonia Park Joint Advisory Committee [organisation]","Snowdonia","","National park guide","number 2 [National park guide]","England","London","H.M. Stationery Off","1973","2nd edition","ix, 113 pages, 12 leaves of plates, illustrations, maps, 22 cm","X28/1703","Snowdonia National Park (Wales)--Guidebooks","","English","First edition, 1958, prepared by the Snowdonia Park Joint Advisory Committee ; Issued for the Countryside Commission"
"333.7816094278","015745951","Serial","Language material ; Text","Volume","","","Friends of the Lake District","","organisation","","Friends of the Lake District [organisation]","Annual report","","","","England","Kendal","Friends of the Lake District","2006-2008","","volumes, colour illustrations, colour portraits, 21 cm","ZK.9.a.12209","Friends of the Lake District--Periodicals ; Landscapes--England--Lake District--Periodicals ; National parks and reserves--England--Cumbria--Periodicals ; Lake District National Park (England)--Periodicals ; Landscape protection--England--Lake District--Periodicals ; Conservation of natural resources--England--Lake District--Periodicals","Periodical","English","Continued by: Friends of the Lake District. Annual review ; Continues: Friends of the Lake District. Report for ... and news letter (ISSN: 0963-3227) ; Latest issue consulted: 2008"
"333.7816094278","015823209","Serial","Language material ; Text","Volume","","","Friends of the Lake District","","organisation","","Friends of the Lake District [organisation]","Annual review","Friends of the Lake District annual review","","","England","Kendal","Friends of the Lake District","2009-2010","","volumes, colour illustrations, 15 x 21 cm","ZK.9.a.12209","Friends of the Lake District--Periodicals ; Landscapes--England--Lake District--Periodicals ; National parks and reserves--England--Cumbria--Periodicals ; Lake District National Park (England)--Periodicals ; Conservation of natural resources--Periodicals ; Friends of the Lake District--Finance--Periodicals ; Landscape protection--England--Lake District--Periodicals","Periodical","English","Continued by: Conserving Lakeland (ISSN: 1365-9545) ; Continues: Friends of the Lake District. Annual report"
"333.78216","015998912","Monograph","Language material ; Text","Volume","GBB278811","","","","","","Dartmoor National Park Authority [organisation]","Dartmoor National Park : design guide : adopted version","","","","England","Newton Abbot","Dartmoor National Park Authority","2011","","102 pages, illustrations (some colour), 30 cm","OPA.2012.x.3038","Conservation and restoration--England--Dartmoor National Park ; Dartmoor National Park (England) ; National parks and reserves--Planning ; Building--England--Dartmoor National Park","","English","Cover title"
