"BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"007438757","Monograph","Language material ; Text","Volume","GB8929761","9780906421093","Bingham, Heather","","person","","Lake District National Park Authority [organisation] ; Ramage, Ros [person] ; Bingham, Heather [person] ; Cumbria (England), Education Department [organisation]","Choices for farmers : for teachers, highlighting some issues relating to hill farming in the Lake District today and into the future","","GCSE resource guide","3 [GCSE resource guide]","England","Windermere","Cumbria Education Department ; Lake District National Park Authority","1989","","96 pages, illustrations (some colour), maps (some colour), 30 cm","333.783094278","YK.1990.b.4834","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park","","English","At head of title: Lake District National Park ; Includes index"
"007438758","Monograph","Language material ; Text","Volume","GB9006144","9780906421109","Bingham, Heather","","person","","Lake District National Park Authority [organisation] ; Cumbria (England), Education Department [organisation] ; Bingham, Heather [person] ; Ramage, Rosalind [person]","A fragile environment? : for teachers, highlighting some issues relating to the environment of the Lake District National Park","","GCSE resource guide","4 [GCSE resource guide]","England","Windermere","Cumbria Education Department ; Lake District National Park Authority","1990","","80 pages, illustrations, maps, 30 cm","333.783094278","YK.1990.b.9390","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park","","English","At head of title: Lake District National Park ; Includes index"
"007438759","Monograph","Language material ; Text","Volume","GB9340992","9780906421130","","","","","Lake District National Park Authority, Education Service [organisation]","Visit planner","","","","England","Keswick","Lake District National Park Authority","1992","","120 pages","914.27804","YK.1993.a.14528","National parks ; Cumbria (England)","","English",""
"007438760","Monograph","Language material ; Text","Volume","GB9749316","9780906421185","","","","","Lake District National Park Authority [organisation]","Caravans & tents : where to stay in Cumbria and the Lake District, 1991","","","","England","Windermere","Lake District National Park Authority","1991","","54 pages, illustrations (some colour), 1 colour map, 21 cm","796.54094278","YK.1997.a.4848","Trailer camps--England--Cumbria--Directories ; Camping--England--Cumbria--Guidebooks ; Camp sites, facilities, etc--England--Cumbria--Directories ; Cumbria (England)--Guidebooks","","English ; French ; German",""
"007438761","Monograph","Language material ; Text","Volume","GB9158969","9780906421208","","","","","Lake District National Park Authority [organisation]","The Voluntary wardens' handbook","","","","England","","Lake District National Park Authority","1991","","80 pages","333.783094278","YK.1992.a.7998","National parks ; Cumbria (England)","","English",""
"007438762","Monograph","Language material ; Text","Sheet","GB9118603","9780906421215","","","","","Lake District National Park Authority [organisation] ; Greatbatch, Mike [person]","Waterhead & Ambleside","","","","England","","Lake District National Park Authority","1991","","1 sheet, 60 x 42 cm, folded to 21 x 10 cm","914.2783","YK.1991.a.12624","Cumbria (England)","","English",""
"007438763","Monograph","Language material ; Text","Sheet","GB9118643","9780906421222","","","","","Lake District National Park Authority [organisation] ; Greatbatch, Mike [person]","Bowness Bay","","","","England","","Lake District National Park Authority","1991","","1 sheet, 60 x 42 cm, folded to 21 x 10 cm","914.27804859","YK.1991.a.12626","Cumbria (England)","","English",""
"007438764","Monograph","Language material ; Text","Sheet","GB9118593","9780906421239","","","","","Lake District National Park Authority [organisation] ; Greatbatch, Mike [person]","Grasmere & Town End","","","","England","","Lake District National Park Authority","1991","","1 sheet, 60 x 42 cm, folded to 21 x 10 cm","914.27804859","YK.1991.a.12627","Cumbria (England)","","English",""
"007438765","Monograph","Language material ; Text","Sheet","GB9118606","9780906421246","","","","","Lake District National Park Authority [organisation] ; Greatbatch, Mike [person]","Hawkshead","","","","England","","Lake District National Park Authority","1991","","1 sheet, 60 x 42 cm, folded to 21 x 10 cm","942.783","YK.1991.a.12625","Cumbria (England)","","English",""
"007438766","Monograph","Language material ; Text","Volume","GB9366996","9780906421260","Peters, Iain","","person","","Peters, Iain [person] ; Shelbourn, Colin [person] ; Lake District National Park Authority, Visitor Services [organisation]","Rocky Rambler's wild walks","","","","England","Windermere","Lake District National Park Authority, Visitor Services","1992","","80 pages, 4 folded plates","914.27804859","YK.1994.b.2939","Travel ; Cumbria (England)","","English",""
"007438767","Monograph","Language material ; Text","Volume","GB9493465","9780906421345","","","","","Lake District National Park Authority [organisation] ; Lake District Special Planning Board [organisation]","Lake District National Park local plan, incorporating policies in respect of minerals and waste","","","","England","Kendal","Lake District National Park","1994","","152 pages, illustrations, maps, 30 cm","711.094278","YC.1995.b.579","Environment planning ; Lake District National Park (England)--Maps ; Environmental policy--Lake District National Park (England) ; Cumbria (England)","","English","With accompanying folder containing maps"
"007439860","Monograph","Language material ; Text","Volume","GB8302917","9780906570036","","","","","","Tourists' guide to the Dartmoor and Exmoor National Parks : including the Quantocks","","","","England","Bristol","Regional Publications","1980","","80 pages, illustrations, 1 colour map, 21 cm","914.235304857 ; 914.235304858 ; 914.238504857 ; 914.238504858","X.809/53648","England--Exmoor ; Exmoor (England)--Description and travel--Guide-books ; Dartmoor (England)--Description and travel--Guide-books ; Devon--Dartmoor","","English","bibliography: p79. _ Includes index"
"007439862","Monograph","Language material ; Text","Volume","GB8104519","9780906570050","Barber, Chris","1941-","person","","Barber, Chris, 1941- [person]","Exploring the Brecon Beacons National Park : a walker's guide to the Brecon Beacons, waterfall country and Black Mountains","","","","England","Bristol ; Floor, Clifton Heights, Bristol BS8 1EW","Regional Publications","1980","","96 pages, illustrations, maps, 21 cm","914.295604857 ; 914.295604858","X.809/46294","South Wales--National parks--Brecon Beacons National Park--Walkers' guides ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English",""
"007439864","Monograph","Language material ; Text","Volume","GB8326412","9780906570074","Nash, Lilla","","person","","Waller, Ann [person] ; Nash, Lilla [person]","Explore Devon & west Somerset : including the Dartmoor & Exmoor National Parks","","A Regional publication","","England","Bristol","Regional Publications","1982","","47 pages, 10 pages of plates, illustrations (some colour), maps (some colour), portraits, 21 cm","914.23504857 ; 914.23504858 ; 914.238504858","X.809/55298","Somerset--West Somerset (District) ; Devon ; Devon--Description and travel--Guide-books ; West Somerset (Somerset)--Description and travel--Guide-books","","English",""
"007442840","Monograph","Language material ; Text","Volume","GB8743838","9780907033424","Arnold, Sylvia M.","","person","","Arnold, Sylvia M. [person]","Wild flowers of the North York Moors National Park","","","","England","Beverley","Hutton Press","1986","","102 pages, illustrations (some colour), 1 map, 21 cm","582.130942846","YK.1987.a.5391","Flowers--England--North York Moors ; North Yorkshire--North York Moors--Flowering plants","","English","bibliography: p94. _ Includes index"
"007445841","Monograph","Language material ; Text","Volume","GB8326188","9780907480044","","","","","North York Moors National Park [organisation]","The Esk Valley walk : ten linking walks from Westerdale to Whitby","","","","England","Helmsley","North York Moors National Park","1982","","40 pages, colour illustrations, colour maps, 21 cm","914.284","Bs.116/198","Esk, River, Region (North Yorkshire, England)--Description and travel--Guide-books ; North Yorkshire--Esk River region--Walkers' guides","","English",""
"007445842","Monograph","Language material ; Text","Volume","GB8326189","9780907480068","","","","","North York Moors National Park [organisation]","Sutton Bank nature trail","","","","England","Helmsley","North York Moors National Park","1982","","13 pages, colour illustrations, 1 colour map, 21 cm","508.42846","BS.116/199","Sutton Bank Nature Trail (England)--Guide-books ; North Yorkshire--North York Moors--National parks--North York Moors National Park--Nature trails--Sutton Bank Nature Trail--Walkers' guides","","English",""
"007445843","Monograph","Language material ; Text","Volume","GBA056744","9780907480204","Hayes, Raymond H.","","person","","North York Moors National Park [organisation] ; Hayes, Raymond H. [person]","Old roads and pannierways in north east Yorkshire","","","","England","Helmsley","North York Moors National Park","1988","","81 pages, illustrations, portraits, 30 cm","388.10942846","YA.2000.b.3130","Roads--England--North York Moors--History ; North York Moors (England)--Antiquities","","English",""
"007445844","Monograph","Language material ; Text","Volume","GB9154011","9780907480228","Farnill, Barrie","","person","","Farnill, Barrie [person] ; North York Moors National Park [organisation]","A history of Robin Hood's Bay : the story of a Yorkshire community","","","","England","Helmsley","North York Moors National Park","1990","Revised and reprinted edition","108 pages, illustrations, 1 portrait, 21 cm","942.846","YK.1992.a.7170","North Yorkshire (England)--History, 1714-","","English","Previous edition: 1966"
"007445845","Monograph","Language material ; Text","Volume","GB9131063","9780907480266","Hollings, Alice","1892-","person","","Hollings, Alice, 1892- [person]","A history of Goathland : the story of a moorland community","","","","England","Helmsley","North York Moors National Park","1990","Revised","116 pages, illustrations, maps, portraits, 21 cm","942.847","YK.1991.a.10977","North Yorkshire (England) ; Social life--History","","English","Previous edition: 1971"
"007445846","Monograph","Language material ; Text","Volume","GB9449237","9780907480310","","","","","North York Moors National Park [organisation]","Sutton Bank trail : through a woodland nature reserve","","","","England","Helmsley","North York Moors National Park","1993","","18 pages","914.284604859","YK.1994.a.14642","North Yorkshire (England) ; Travel","","English",""
"007445848","Monograph","Language material ; Text","Volume","GB9158095","9780907480358","Breakell, Bill","","person","","North Yorkshire Moors Railway [organisation] ; North York Moors National Park [organisation] ; Breakell, Bill [person]","Guideline to the North Yorkshire Moors Railway","","","","England","","North York Moors National Park ; North Yorkshire Moors Railway","1991","","24 pages","385.094284","YK.1991.b.7455","Railways ; North Yorkshire (England) ; North Yorkshire Moors Railway","","English",""
"007445849","Monograph","Language material ; Text","Volume","GB9303698","9780907480365 ; 9780907480372","Walmsley, J. Ulric","1860-1954","person","","Walmsley Society [organisation] ; North York Moors National Park [organisation] ; Walmsley, J. Ulric, 1860-1954 [person]","The paintings of J. Ulric Walmsley : a collection of Edwardian postcards of the North York Moors Coast","","","","England","Helmsley","North York Moors National Park","1992","","1 volume, chiefly colour illustrations, 17 cm","759.2","YK.1993.a.6884","Walmsley, J. Ulric, 1860-1954 ; Paintings ; England","","English",""
"007445850","Monograph","Language material ; Text","Volume","GB9303869","9780907480389","","","","","Mitchell, David, 1950 March 1- [person] ; Bryan, Sheila [person] ; North York Moors National Park Authority [organisation]","Birds of the park in blackwork","","","","England","","North York Moors National Park","1992","","12 pages","746.44041","LB.31.a.4381","Embroidery--Patterns","","English",""
"007445851","Monograph","Language material ; Text","Volume","GB9508616","9780907480396","","","","","North York Moors National Park [organisation]","Esk Valley walk","","","","England","Helmsley","North York Moors National Park Authority","1992","","32 pages","914.284604859","YK.1995.a.5565","Esk River Valley (England)--Guidebooks ; North Yorkshire (England) ; Travel ; North York Moors National Park--Guidebooks ; Trails--England--Esk River Valley--Guidebooks","","English",""
"007445852","Monograph","Language material ; Text","Volume","GB9365059","9780907480457","","","","","North York Moors National Park [organisation]","May Beck Trail : by farm, moor and forest","","","","England","Helmsley","North York Moors National Park","1993","","16 pages, illustrations, 21 cm","914.284604859","YK.1995.a.794","May Beck Trail (England)--Guidebooks ; North Yorkshire (England) ; Trails--England--North Yorkshire ; Travel","","English","Title from cover"
"007445853","Monograph","Language material ; Text","Volume","GB9450340","9780907480464","Staniforth, Alan","","person","","Staniforth, Alan [person] ; North York Moors National Park [organisation]","Family walks around Sutton Bank","","","","England","Helmsley","North York Moors National Park","1993","Revised edition","32 pages","914.284604859","YK.1994.a.15461","North Yorkshire (England) ; Travel","","English",""
"007445854","Monograph","Language material ; Text","Volume","GB9458585","9780907480471","","","","","North York Moors National Park [organisation]","Walks around Robin Hood's Bay","","","","England","Helmsley","North York Moors National Park","1994","","23 pages, illustrations (some colour), maps, 21 cm","","YK.1994.a.11499","Robin Hood's Bay (England)--Guidebooks ; Trails--England--Robin Hood's Bay","","English",""
"007445855","Monograph","Language material ; Text","Volume","GB9602222","9780907480488","","","","","North York Moors National Park [organisation]","Walks from the Moors Centre","","","","England","Helmsley","North York Moors National Park","1995","","23 pages, illustrations, maps, 1 plan, portraits, 21 cm","914.284604859","YK.1996.a.529","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park--Guidebooks ; Travel ; North Yorkshire (England)","Guidebook","English",""
"007445856","Monograph","Language material ; Text","Volume","GB9459329","9780907480501","Staithes Now (Exhibition)","1994","meeting/conference","","Staithes Now (Exhibition), 1994 [meeting/conference] ; North York Moors National Park [organisation]","Staithes now","","","","England","Staithes","North York Moors National Park","1994","","24 pages","759.2","YK.1994.a.15086","Paintings ; Yorkshire (England)","","English",""
"007445859","Monograph","Language material ; Text","Volume","GB9629485","9780907480594","","","","","North York Moors National Park [organisation]","Sandsend trail : on the North Yorkshire and Cleveland Heritage Coast","","","","England","Helmsley","North York Moors National Park","1996","","16 pages, illustrations (some colour), 21 cm","914.284704859","YK.1996.a.16616","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park--Guidebooks ; Travel ; North Yorkshire (England)","Guidebook","English","Cover title"
"007445860","Monograph","Language material ; Text","Volume","GB9653302","9780907480624","Dixon, Joyce","","person","","Dixon, Joyce [person] ; North York Moors National Park [organisation]","History under the hammer : why did the Dixon family sell Captain Cook's Cottage to Australia","","","","England","Helmsley","North York Moors National Park","1996","","29 pages, illustrations, facsimiles, portraits, 21 cm","728.370942849","YK.1996.a.16776","Cottages--History ; North Yorkshire (England) ; Historic buildings--Australia--Melbourne","","English","Text on inside back cover"
"007445861","Monograph","Language material ; Text","Volume","GB9737397","9780907480648","","","","","North York Moors National Park [organisation]","Walks around Goathland","","","","England","Helmsley","North York Moors National Park","1997","","23 pages, illustrations, maps, 21 cm","914.284704859","YK.1997.a.6028","Trails--England--Goathland--Guidebooks ; Walking--England--Goathland--Guidebooks ; Goathland (England)--Guidebooks","","English",""
"007445862","Monograph","Language material ; Text","Volume","GB9821782","9780907480655","","","","","North York Moors National Park [organisation]","In search of Rosedale glass","","","","England","Helmsley","North York Moors National Park","1997","","16 pages, illustrations, maps, portraits, 21 cm","748.292846","YK.1998.a.1967","Glass manufacture--England--North York Moors--History ; North York Moors National Park--Guidebooks","","English","Cover title"
"007445864","Monograph","Language material ; Text","Volume","GB9935914","9780907480693","","","","","North York Moors National Park Authority [organisation]","The Hambleton hillside mosaic walk, North York Moors National Park : a regional route, including ordnance survey maps","","","","England","York","North York Moors National Park Authority","1997","","28 pages, colour illustrations, maps, 18 cm","796.510942846","YK.1999.a.3136","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park--Guidebooks ; Mosaics--England--North York Moors National Park--Guidebooks","Guidebook","English","Cover title"
"007445865","Monograph","Language material ; Text","Volume","GB9907454","9780907480709","","","","","North York Moors National Park [organisation]","Walks around Rosedale Abbey","","","","England","Helmsley","North York Moors National Park","1998","","23 pages, illustrations (some colour), maps, 21 cm","914.284704859","YK.2000.a.4185","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park--Guidebooks ; Walking--England--Rosedale Region--Guidebooks ; Rosedale Region (England)--Guidebooks","Guidebook","English","Cover title"
"007445867","Monograph","Language material ; Text","Volume","GB9954065","9780907480778","Owen, John","1918-1996","person","","Cleveland Industrial Archaeology Society, Editorial Board [organisation] ; Owen, John, 1918-1996 [person] ; North York Moors National Park Authority [organisation]","Cleveland ironstone : a memorial to John Owen, presenting some of his researches into the ironstone mining industry and some other related topics in Cleveland and the North York Moors","","","","England","Middlesbrough","Industrial Society","1998","","104 pages, illustrations, maps, 30 cm","622.341094285","YC.1999.b.5540","Industrial archaeology--England--North York Moors ; Industrial archaeology--England--Cleveland ; Iron mines and mining--England--Cleveland--History ; Iron mines and mining--England--North York Moors--History","","English","Co-published by the North York Moors National Park Authority"
"007445868","Monograph","Language material ; Text","Volume","GBA007772","9780907480808","North York Moors National Park Authority","","organisation","","North York Moors National Park Authority [organisation]","Walks around Sutton Bank : North York Moors National Park","","","","England","Helmsley","North York Moors National Park","1999","","24 pages, illustrations (some colour), maps, 21 cm","","YK.2003.a.20303","North York Moors National Park (England)--Guidebooks ; Walking--England--North York Moors National Park--Guidebooks","Guidebook","English",""
"007446022","Monograph","Language material ; Text","Volume","GB8954149","9780907496557","Merrill, John N.","1943-","person","","Merrill, John N., 1943- [person]","Peak District high level route","","A J. N. M. Publication","","England","Matlock","J. N. M. Publications","1987","Revised and enlarged edition","56 pages, illustrations, maps, 21 cm","796.510942511","YC.1989.a.10509","Peak District National Park (England)--Guide-books ; England--Peak District--National parks--Peak National Park--Recreations--Walking ; Walking--England--Peak District National Park--Guide-books","","English","Previous edition: 1983"
"007446040","Monograph","Language material ; Text","Volume","GB8951445","9780907496847","Merrill, John N.","1943-","person","","Merrill, John N., 1943- [person]","The Peakland Way","","","","England","Matlock","J.N.M.Publications","1989","Enlarged edition","iv, 60 pages, illustrations, maps, 21 cm","796.510942511","YC.1989.a.10279","Peak District National Park (England)--Guide-books ; Walking--England--Peak District National Park--Guide-books ; England--Peak District--National parks--Peak District National Park--Recreations--Walking","","English","Previous edition: 1970"
"007446475","Monograph","Language material ; Text","Volume","GB8235117","9780907543008","","","","","Peak Park Joint Planning Board [organisation]","A Guide to policies affecting the Peak District National Park","","A Peak National Park planning publication","","England","Bakewell","Peak Park Joint Planning Board","1982","2nd edition","40 pages, illustrations, maps, 30 cm","719.320942511","BS.116/191 ; f83/0207 ; f83/3587 ; f83/4130","England--Peak District--National parks--Peak National Park ; Peak District National Park (England)","","English","Previous edition: 197-?"
"007446476","Monograph","Language material ; Text","Volume","GB8815145","9780907543046","Peak Park Joint Planning Board","","organisation","","Peak Park Joint Planning Board [organisation]","Building design guide : Peak National Park","","","","England","Bakewell, Derbyshire","Peak Park Joint Planning Board","1986","2nd edition","89 pages, illustrations, 31 cm","721.0942511","YK.1988.b.2528","England--Peak District--National parks--Peak National Park--Buildings--Architectural design ; Architecture--England--Peak District National Park--Standards","","English","Previous edition published as: Building design guide, Peak National Park. 1976 ; Text on inside cover"
"007446477","Monograph","Language material ; Text","Volume","GB8823167","9780907543077","Miller, Denise","","person","","Miller, Gordon, Park Ranger [person] ; Peak Park Joint Planning Board [organisation] ; Miller, Denise [person]","8 walks around Edale","","A Peak National Park guide","","England","Bakewell","Peak Park Joint Planning Board","1987","","20 pages (1 folded), illustrations (some colour), 1 colour map, 23 cm","796.510942511","OP-LG/4775 ; YC.1988.a.3102","Peak District National Park (England)--Guide-books ; England--Peak District--National parks--Peak National Park--Recreations--Walking ; Walking--England--Peak District National Park--Guide-books","","English",""
"007446480","Monograph","Language material ; Text","Volume","GB8442207","9780907543268","Hurst, Ian","","person","","Peak Park Joint Planning Board [organisation] ; Hurst, Ian [person]","6 walks around Tideswell Dale","","A Peak National Park guide","","England","Bakewell","Peak Park Joint Planning Board","1984","","16 pages, illustrations (some colour), 1 colour map, 23 cm","796.510942511","X.809/61502","Peak District National Park (England)--Guide-books ; England--Peak District--National parks--Peak National Park--Recreations--Walking ; Walking--England--Peak District National Park--Guide-books","","English",""
"007446481","Monograph","Language material ; Text","Volume","GB8513536","9780907543312","Parker, Ken","","person","author","Parker, Ken, author [person] ; Peak Park Joint Planning Board, Project Steering Group [organisation]","'A tale of two villages' : the story of the integrated rural development experiment in the Peak District, 1981-84","","","","England","Bakewell","Peak Park Joint Planning Board ; Project Steering Group","1984","","119 pages, illustrations (some colour), maps, 1 portrait, 30 cm","330.9425110858","X.805/6346","Rural development--England--Peak District ; England--Peak District--Rural regions--Economic development ; Peak District (England)--Economic conditions","","English",""
"007446486","Monograph","Language material ; Text","Volume","GB9302101","9780907543497","Scott, Duncan","1942-","person","","Peak Park Trust [organisation] ; Healey, Brian [person] ; Scott, Duncan, 1942- [person] ; Shenton, Neil [person] ; University of Manchester, Department of Social Policy and Social Work [organisation]","Hidden deprivation in the countryside : local studies in the Peak District National Park","","","","England","Glossop","Peak Park Trust","1991","","76 pages, illustrations, 2 maps, 30 cm","305.5690942511","YK.1993.b.6548","Derbyshire (England) ; Rural regions--Social conditions","","English","'A report commissioned by the Peak Park Trust from the Department of Social Policy and Social Work, University of Manchester' - t.p"
"007447474","Monograph","Language material ; Text","Volume","GB8303785","9780907632009","Williams, Joan","","person","","Dale, Eric [person] ; Northumberland (England), National Park and Countryside Department [organisation] ; Williams, Joan [person] ; Melvin, Karen [person]","Walks : in the Cheviot Hills : a guide to fourteen walks of between two-and-a-half and seven miles in length in and around the Northumberland National Park","","","","England","Hexham","Northumberland County Council National Park & Countryside Department","1981","","55 pages, illustrations (some colour), maps (some colour), 22 cm","914.28804858","BS.116/177 ; X.809/67113","England--Cheviot Hills--Walkers' guides ; Cheviot Hills (England and Scotland)--Description and travel--Guide-books","","English",""
"007447475","Monograph","Language material ; Text","Volume","GB8211951","9780907632016","","","","","Northumberland (England), National Park and Countryside Committee [organisation]","The Educational use of Northumberland National Park & countryside","","Occasional paper","number 3 [Occasional paper]","England","Hexham","Northumberland National Park & Countryside Committee","1981","","33, 5 pages, illustrations, facsimiles, forms, 30 cm","371.38","BS.116/180. [no.3]","Northumberland--National parks--Northumberland National Park--Use by educational institutions ; Field work (Educational method)--England--Northumberland National Park ; Northumberland National Park (England)","","English",""
"007447476","Monograph","Language material ; Text","Volume","GB8336499","9780907632023","Bleay, Janet","","person","","Northumberland (England), National Park and Countryside Department [organisation] ; Bleay, Janet [person]","Walks in the Hadrians Wall area : a guide to thirteen walks of between three and five miles in length in and around the Northumberland National Park","","","","England","Hexham","Northumberland County Council, National Park & Countryside Department","1982","","84 pages, illustrations (some colour), maps (some colour), 22 cm","914.288104858","X.809/55996","Northumberland--Tynedale (District)--Ancient Roman fortifications--Hadrian's Wall--Walkers' guides ; Tynedale (Northumberland)--Description and travel--Guide-books ; Hadrian's Wall (England)--Guide-books","","English",""
"007447478","Monograph","Language material ; Text","Volume","GB8214037","9780907632047","","","","","Northumberland (England), National Park and Countryside Committee [organisation]","The 1980 visitor surveys","","Occasional paper","number 4 [Occasional paper]","England","Hexham","Northumberland National Park & Countryside Committee","1981","","62 pages, 10 pages of plates, illustrations, maps, 30 cm","306.48094288","BS.116/180. [no.4]","Northumberland National Park (England)--Statistics ; National parks and reserves--England--Northumberland--Visitors--Statistics ; Northumberland--National parks--Northumberland National Park--Visitors--1980","","English",""
"007447481","Monograph","Language material ; Text","Volume","GB9715502","9780907632269","Hopkins, Tony","1949-","person","","Miller, Andrew, 1958 July 24- [person] ; Hopkins, Tony, 1949- [person] ; Northumberland (England), National Park Division [organisation] ; Chapman, Chris, 1952- [person] ; Wilson, Sarah, active 1993 [person]","The Cheviot way of life","","","","England","Hexham","Northumberland County Council, National Park Division","1993","","136 pages, illustrations, portraits, 21 x 28 cm","942.880859","LB.31.a.7023","Northumberland National Park (England)--Social life and customs--Pictorial works ; Country life--England--Northumberland National Park ; Country life--England--Northumberland National Park--Pictorial works","","English",""
"007447482","Monograph","Language material ; Text","Volume","GB9731806","9780907632276","Charlton, D. B.","","person","","Northumberland (England), National Park Division [organisation] ; Charlton, D. B. [person]","Walks in Reiver country","","","","England","Hexham","Northumberland County Council, National Park Division","1994","","83 pages, illustrations (some colour), colour maps, 21 cm","914.288104859","YK.1997.a.2873","Northumberland (England)--Guidebooks ; Walking--England--Northumberland--Guidebooks ; Northumberland National Park (England)--Guidebooks","","English",""
"007447483","Monograph","Language material ; Text","Volume","GB9731794","9780907632313","Charlton, D. B.","","person","","Northumberland (England), National Park Division [organisation] ; Charlton, D. B. [person]","Walks in High Hills country","","","","England","Hexham","Northumberland County Council, National Park Division","1995","","95 pages, illustrations (some colour), colour maps, plans, 21 cm","914.28804859","YK.1997.a.2792","Northumberland (England)--Guidebooks ; Walking--England--Northumberland--Guidebooks ; Northumberland National Park (England)--Guidebooks","","English",""
"007447484","Monograph","Language material ; Text","Volume","GBA360753","9780907632344","","","","","Northumberland National Park Authority [organisation]","Land of the far horizon : a guide to Northumberland National Park","","","","England","Hexham","Northumberland National Park Authority","1997","","1 volume, illustrations (some colour), 1 map, 20 x 21 cm","790.0684288","YK.2003.a.17903","Northumberland National Park (England)--Guidebooks","Guidebook","English",""
"007447485","Monograph","Language material ; Text","Volume","GBA229810","9780907632382","","","","","Northumberland National Park Authority [organisation] ; University of Newcastle upon Tyne [organisation]","Thirlwall castle, Northumberland (OS grid ref.NY 659 662) documentary survey","","","","England","Hexham","Northumberland National Park Authority","2001","","65 pages, illustrations (some colour), maps (some colour), 30 cm","728.8109442881","YC.2002.b.1240","Thirlwall Castle","","English",""
"007447486","Monograph","Language material ; Text","Volume","GBA377469","9780907632399","","","","","Northumberland National Park Authority [organisation]","A beautiful highland place : an introduction to the wild and beautiful landscape of the College Valley with four hillfort heritage trails","","","","England","Hexham","Northumberland National Park Authority","2002","","28 pages, illustrations (some colour), maps, 1 portrait, 21 cm","914.2880486","YK.2003.a.23790","Northumberland (England)--Guidebooks ; Walking--England--Northumberland--Guidebooks","Guidebook","English","Cover title"
"007448398","Monograph","Language material ; Text","Volume","GB8834068","9780907758099","Taylor, Norman","1947-","person","","Taylor, Norman, 1947- [person]","Family walks in the White Peak","","","","England","Cromford","Scarthin","1985","","ii, 78 pages, illustrations, maps, 21 cm","914.251104858","YC.1988.a.5405","Peak District National Park (England)--Guide-books ; England--Peak District--National parks--Peak District National Park","","English",""
"007448456","Monograph","Language material ; Text","Volume","GB9628922","9780907758808","Taylor, Norman","1947-","person","","Taylor, Norman, 1947- [person]","More family walks in the White Peak","","Family walks series","","England","Cromford","Scarthin","1995","","95 pages, illustrations, maps, 21 cm","914.251104859","YK.1996.a.10716","Walking--England--Peak District National Park--Guidebooks ; Derbyshire (England) ; Family recreation--England--Peak District National Park--Guidebooks ; Travel ; Peak District National Park (England)--Guidebooks","","English",""
"007461493","Monograph","Language material ; Text","Volume","GBA2Y3001","9781845890735 ; 9781859374863","","","","","Purdy, Elizabeth [person] ; Francis Frith Collection [organisation]","Francis Frith's Norfolk Broads","Norfolk Broads","Photographic memories","","England","Salisbury","Frith","2002","","119 pages, chiefly illustrations, map, portraits, 26 cm","942.617","YK.2002.a.15500","Francis Frith Collection ; Broads, The (England)--History--20th century--Pictorial works","Pictorial work","English","Cover title: Norfolk Broads ; Includes index"
"007532715","Monograph","Language material ; Text","Volume","","9780905455198","","","","","Bunce, R. G. H. (Robert Gerald Henry) [person] ; Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation]","Composition of enclosed grasslands : Yorkshire Dales National Park","","","","England","Leyburn","Yorkshire Dales National Park Committee","1985","","51 pages, 30 cm","","CW 224","","","English",""
"007575662","Monograph","Language material ; Text","Volume","","9780907632016","Northumberland (England), National Park and Countryside Committee","","organisation","","Northumberland (England), National Park and Countryside Committee [organisation]","The Educational use of Northumberland National Park & Countryside","","Occasional Paper","number 3 [Occasional Paper]","","","Northumberland National Park & Countryside Committee","","","","","6219.220000","","","English",""
"007625711","Monograph","Language material ; Text","Volume","","9780907632399","","","","","","'A beautiful highland place'","","","","","","Northumberland National Park","2002","","","","","","","",""
"007629403","Monograph","Language material ; Text","Volume","","9780905981260","","","","","","Dartmoor National Park local plan.\First review 1995-2201. Revised deposit version. Inc maps","","","","","","Dartmoor National Park Authority","2003","April","","","","","","English",""
"007653583","Monograph","Language material ; Text","Volume","GB5213878","","Derbyshire (England), County Planning Committee","","organisation","","Derbyshire (England), County Planning Committee [organisation]","A development plan for the county, 1951. Analysis of survey including those areas within the Peak District National Park","","","","United Kingdom","","County Planning Officer","1952","","98 pages, illustrations, 33 cm","711.3094251","","","","English",""
"007653586","Monograph","Language material ; Text","Volume","GB5213881","","Derbyshire (England), County Planning Committee","","organisation","","Derbyshire (England), County Planning Committee [organisation]","A development plan for the county, 1951. Written statement excluding those areas within the Peak District National Park","","","","United Kingdom","","Derby County Planning Officer","1952","","19 pages, 33 cm","711.3094251","","","","English",""
