"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Churches and chapels of the South Downs National Park","","018400685","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBC0G1421","9780904973273","Parsons, David","","person","author ; teacher","Parsons, David, author ; teacher [person] ; Sussex Archaeological Society, publisher [organisation] ; Milner-Gulland, R. R., author [person]","","","England","Lewes","Sussex Archaeological Society","2017","","iii, 138 pages, illustrations (black and white and colour), colour maps, 18 x 23 cm","726.5094226","YKL.2019.a.13873","Church buildings--England--South Downs National Park","","English",""
"Circular walks in Derbyshire and the Peak Park : 22 walks of 4 to 8 miles","","014559469","Monograph","Language material ; Text","Volume","GBB017916","9781873775288","Tidsall, Pat","","person","","Tidsall, Peter [person] ; Tidsall, Pat [person]","","","England","Ashbourne","Ashbourne","2008","","78 pages, maps, 18 cm","796.510942511","YK.2009.a.26160","Walking--England--Peak District National Park--Guidebooks ; Trails--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","paperback"
"Circular walks in the Brecon Beacons National Park","","010751090","Monograph","Language material ; Text","Volume","GB9848110","9780863814761","Hutton, Tom","","person","","Hutton, Tom [person]","Walks with history","","Wales","Llanrwst","Gwasg Carreg Gwalch","1998","","95 pages, illustrations, maps, 19 cm","914.295604859","YK.1999.a.8578","Walking--Wales--Brecon Beacons--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","","English",""
"Circular walks in the Brecon Beacons National Park","","014580780","Monograph","Language material ; Text","Volume","GBA909434","9781845240882","Hutton, Tom","","person","","Hutton, Tom [person]","Walks with history","","Wales","Pwllheli","Llygad Gwalch","2007","New edition","95 pages, illustrations, maps, 19 cm","914.29560486","YK.2009.a.28025","Walking--Wales--Brecon Beacons--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","First published 1998"
"Circular walks in the Brecon Beacons","Western Beacons circular walks","011791485","Monograph","Language material ; Text","Volume","GBA052455","9780863816383","Jenkins, Nick","","person","","Jenkins, Nick [person]","Walks with history","","Wales","Llanrwst","Gwasg Carreg Gwalch","2000","","76 pages, illustrations, maps, 19 cm","","YK.2002.a.9773","Walking--Wales--Brecon Beacons--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","Cover title: Circular walks in the Western Beacons"
"Circular walks in the Peak District : 20 walks of 6 to 10 miles","","014801401","Monograph","Language material ; Text","Volume","GBB017672","9781873775332","Tidsall, Pat","","person","","Tidsall, Pat [person]","","","England","Ashbourne","Ashbourne","2008","","78 pages, maps, 18 cm","796.510942511","YK.2009.a.26750","Walking--England--Peak District National Park--Guidebooks ; Trails--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English",""
"Circular walks in the Peak District","20 walks of 6 to 10 miles","015863195","Monograph","Language material ; Text","Volume","GBB2A0814","9781873775400","Tidsall, Pat","","person","","Tidsall, Pat [person]","","","England","Ashbourne","Ashbourne","2011","Revised edition","78 pages, illustrations, maps, 18 cm","796.510942511","YK.2012.a.22038","Walking--England--Peak District National Park--Guidebooks ; Trails--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","Includes index"
"Circular walks in the Peak Park","","009917673","Monograph","Language material ; Text","Volume","GBA323393","9780851000923","Parker, William","1911-","person","","Tidsall, Peter [person] ; Parker, William, 1911- [person] ; Parker, Vera [person] ; Tidsall, Pat [person]","","","England","Derby","Derbyshire countryside","2002","5th edition, walks revised for this edition by Patippu and Peter Tidsall with assistance from Majorie Hodgkiss","64 pages, 1 illustration, maps, 18 cm","796.510942511","YK.2003.a.6852","Peak District National Park (England)--Guidebooks ; Walking--England--peak District National Park--Guidebooks","Guidebook","English","Previous edition: 1992"
"Circular walks in the Peak park","","008117839","Monograph","Language material ; Text","Volume","GB8642937","9780851000923","Parker, William","","person","","Parker, William [person] ; Parker, Vera [person]","","","England","Derby","Derbyshire Countryside","1985","","64 pages, illustrations, maps, 18 cm","796.510942511","X.808/42664","Peak District National Park (England)--Guide-books ; England--Peak District--National parks--Peak National Park--Recreations--Walking ; Walking--England--Peak District National Park--Guide-books","","English","illustrations and text and map on inside covers"
"Circular walks in the Peak park","","011826992","Monograph","Language material ; Text","Volume","GB9011479","9780851000923","Parker, William","","person","","Parker, William [person] ; Parker, Vera [person]","","","England","Derby","Derbyshire Countryside","1989","2nd edition","64 pages, illustrations, maps, 18 cm","796.510942511","YC.1990.a.1462","Peak District National Park (England)--Guide-books ; England--Peak District--National parks--Peak National Park--Recreations--Walking ; Walking--England--Peak District National Park--Guide-books","","English","Previous edition: 1985 ; illustrations and text and map on inside covers"
"Classic walks in the Brecon Beacons National Park","","011799918","Monograph","Language material ; Text","Volume","GB9759813","9781872730080","Barber, Chris","1941-","person","","Barber, Chris, 1941- [person]","","","Wales","Abergavenny","Blorenge","1997","","160 pages, illustrations (some colour), maps, portraits, 21 cm","","YK.2002.a.17964","Walking--Wales--Brecon Beacons--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","","English",""
"Classic walks in the Yorkshire Dales","","008133837","Monograph","Language material ; Text","Volume","GB8940297","9780946609871","Unsworth, Walt","1928-","person","","Unsworth, Walt, 1928- [person]","","","England","Sparkford","Haynes","1989","","144 pages, illustrations, maps, 25 cm","914.28404858","YC.1989.b.6754","North Yorkshire--National parks--Yorkshire Dales National Park ; Yorkshire Dales National Park (England)--Guide-books","","English",""
"Cleveland ironstone : a memorial to John Owen, presenting some of his researches into the ironstone mining industry and some other related topics in Cleveland and the North York Moors","","007445867","Monograph","Language material ; Text","Volume","GB9954065","9780907480778","Owen, John","1918-1996","person","","Cleveland Industrial Archaeology Society, Editorial Board [organisation] ; Owen, John, 1918-1996 [person] ; North York Moors National Park Authority [organisation]","","","England","Middlesbrough","Industrial Society","1998","","104 pages, illustrations, maps, 30 cm","622.341094285","YC.1999.b.5540","Industrial archaeology--England--North York Moors ; Industrial archaeology--England--Cleveland ; Iron mines and mining--England--Cleveland--History ; Iron mines and mining--England--North York Moors--History","","English","Co-published by the North York Moors National Park Authority"
"Climate Change Adaptation Report 2016","","018482265","Monograph","Language material ; Text","Online resource","","","","","","","","","","United Kingdom","","Peak District National Park","2016","","1 online resource","","ELD.DS.175785","","","English",""
"Climate change and Scottish agriculture : farmers' guide: reducing greenhouse gas emissions from farms","","015852623","Monograph","Language material ; Text","Volume","GBB241681","","","","","","Saos (Cooperative) [organisation] ; Cairngorms National Park Authority [organisation]","","","Scotland","Grantown-on-Spey","Cairngorms National Park","2011","","18 pages, colour illustrations, 22 cm","363.7387409411","YK.2012.a.12432","Greenhouse gases--Environmental aspects--Scotland ; Agriculture--Environmental aspects--Scotland","","English","Title from front page"
"Climate change and the New Forest National Park","","015406576","Monograph","Language material ; Text","Volume","","","","","","","","","","","","New Forest National Park Authority","2009","","","","","","","English",""
"Climate in the Peak National Park","","012249780","Monograph","Language material ; Text","Volume","GB7321463","","Peak Park Planning Board","","organisation","","Peak Park Planning Board [organisation]","","","England","Bakewell ; National Park Office, Baslow Road, Bakewell, Derbyshire DE4 1AE","Peak Park Planning Board","1973","","8 pages, colour illustrations, 1 map, 21 cm","551.694251","","Peak District National Park--Climate","","English",""
"Cloutsham Nature Trail","","010539043","Monograph","Language material ; Text","Volume","GB7814290","","Somerset Trust for Nature Conservation","","organisation","","Somerset Trust for Nature Conservation [organisation] ; National Trust (Great Britain) [organisation] ; Exmoor National Park Committee [organisation]","","","England","Dulverton ; Exmoor House, Dulverton, Somerset TA22 9HL","Exmoor National Park Authority","1977","","22 pages, illustrations, 1 colour map, 21 cm","500.942385","BS.116/122","Cloutsham Nature Trail ; Exmoor National Park ; England--Exmoor--National parks--Exmoor National Park--Nature trails--Cloutsham Nature Trail--Walkers' guides","","English","At head of title: Exmoor National Park"
"Cloutsham nature trail","","004129908","Monograph","Language material ; Text","Volume","","","Somerset Trust for Nature Conservation (Somerset)","","organisation","","Exmoor National Park Committee (Somerset) [organisation] ; Somerset Trust for Nature Conservation (Somerset) [organisation]","","","","","","1972","","22 pages","","X.319/5972","","","English",""
"Coast to coast : helping you enjoy the Pembrokeshire Coast National Park","","009907903","Serial","Language material ; Text","Volume","GBA045378","","","","","","Pembrokeshire Coast National Park Authority [organisation]","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1983-","","volumes, illustrations, 42 cm","719.3209429","ZK.9.d.1720","Pembrokeshire Coast National Park (Wales)--Periodicals","Periodical","English ; Welsh","Description based on: 1999 issue"
"Coastal nature reserves :coastal Snowdonia","Gwarchodfeydd natur arfordirol : arfordir Eryri","012261283","Monograph","Language material ; Text","Volume","GBA062405","","","","","","North Wales Coastal Conservation Partnership [organisation]","","","Wales","","Partneriaeth Gwarchod Arfordir Gogledd Cymru","2000","","20 pages, colour illustrations, maps, 22 x 10 cm","","","Snowdonia National Park (Wales) ; National parks and reserves--Wales ; Coastal zone management--Wales--Snowdonia Region ; Natural areas--Wales--Snowdonia Region ; Coasts--Wales--Snowdonia Region","","English","Teitl clawr = Cover title ; Testun tu fewn i'r cloriau = Text on inside covers"
"Coastal scenery of the Pembrokeshire Coast National Park","","007433114","Monograph","Language material ; Text","Volume","GB7727059","9780905559056","Ellis-Gruffydd, Dyfed","","person","","Ellis-Gruffydd, Dyfed [person]","Information booklets / Pembrokeshire Coast National Park Committee","number 2 [Information booklets / Pembrokeshire Coast National Park Committee]","Wales","Brian S John, Trefelin ; Cilgwyn ; Newport, Dyfed","Greencroft ; Pembrokeshire Coast National Park Committee","1977","","1, 32 pages, illustrations, 1 map, 22 cm","551.45","X.329/15157 ; X.709/31515","Pembrokeshire Coast National Park (Wales) ; Coasts--Wales--Pembrokeshire Coast National Park ; Dyfed--Preseli (District)--& South Pembrokeshire (District)--National parks--Pembrokeshire Coast National Park--Coastal regions--Landforms","","English",""
"Coed y Rhaeadr = Wood of the waterfalls","Wood of the Waterfalls","015549495","Monograph","Language material ; Text","Sheet","GBB059642","","","","","","Brecon Beacons National Park Authority [organisation]","","","Wales","Aberhonddu","Parc Cenedlaethol Bannau Brycheiniog","2009","","1 folded sheet, colour illustrations, maps, 42 x 60 cm folded to 22 x 15 cm","","","Trails--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English ; Welsh",""
"Collins Nicholson inland waterways map of the Norfolk Broads","Inland waterways map of the Norfolk Broads","013754226","Monograph","Cartographic image ; Cartographic material","Sheet","","9780007219568","Nicholson (Firm)","","organisation","","Frew, Cicely [person] ; HarperCollins (Firm) [organisation] ; Nicholson (Firm) [organisation] ; Collins Bartholomew Ltd [organisation]","","","England","Hammersmith, London","Nicholson","2007","","1 map, colour, 85 x 89 cm, folded in cover 24 x 14 cm","912.42617","Maps 220.b.550","Broads, The (England)--Maps ; Boats and boating--England--Broads, The--Maps ; Waterways--England--Broads, The--Maps ; Norfolk (England)--Maps ; Inland navigation--England--Broads, The--Maps","Map","English","'First published by Nicholson 2007.' ; Also shows points of interest ; At head of titles: Collins / Nicholson ; Copyright: HarperCollins Publishers Ltd. 2007. Mapping: Collins Bartholomew Ltd. 2007 ; Includes text, descriptive index to points of interest, tables of 'Journey times', indexed table of waterway-related businesses, inset of central Norwich, and colour illustrations ; Table of contents, publisher's list of canal guidebooks, specimen map, and colour illustrations on cover ; Title from cover and sheet"
"Combe Martin, on Devon's golden coast at the western gateway to Exmoor National Park. 1973","","012255306","Monograph","Language material ; Text","Volume","GB7306754","9780950025643","","","","","","","","England","Combe Martin ; Haine, White Lodge, Combe Martin, Devon","Combe Martin Guide Committee","1973","","92 pages, illustrations (some colour), maps, 18 cm","914.235","","Combe Martin, Devon--Description--Guide-books ; Devon--Combe Martin--Guidebooks","","English",""
"Combe Martin, on the coast at the western gateway to Exmoor National Park. 1972","","012255305","Monograph","Language material ; Text","Volume","GB7204718","9780950025636","","","","","Barlow, Howard, 1945- [person] ; Beaumont, George Frederick [person]","","","England","Combe Martin ; Haine, White Lodge, Combe Martin, Devon","Combe Martin Guide Committee","1972","","98 pages, illustrations (some colour), coat of arms, maps, 18 cm","914.235","","Combe Martin, Devon--Description--Guide-books ; Devon--Combe Martin--Guidebooks","","English",""
"Combe Martin: a coastal resort at the Western gateway to Exmoor National Park. 1970","","012247330","Monograph","Language material ; Text","Volume","GB7006798","9780950025612","","","","","Barlow, Howard, 1945- [person] ; Beaumont, G. F. [person]","","","England","Combe Martin","Combe Martin Guide Committee","1970","","2-59, xx pages, illustrations (some colour), coat of arms, 1 map, 18 cm","914.235","","Combe Martin--Description and travel","","English",""
"Combe Martin: a coastal resort at the Western gateway to Exmoor National Park. 1971","","012255304","Monograph","Language material ; Text","Volume","GB7119524","9780950025629","","","","","Barlow, Howard, 1945- [person] ; Beaumont, George Frederick [person]","","","England","Combe Martin ; Haine, White Lodge, Combe Martin, Devon","Combe Martin Guide Committee","1971","","91 pages, illustrations (some colour), coat of arms, 1 map, 18 cm","914.235","","Combe Martin, Devon--Description--Guide-books ; Devon--Combe Martin--Guidebooks","","English",""
"Common land in the Brecon Beacons National Park = Tir comin yn y Parc Cenedlaethol Bannau Brycheiniog","Common land in the Brecon Beacons National Park","013022858","Monograph","Cartographic image ; Cartographic material ; Text","Sheet","GBA476448","","Brecon Beacons National Park Committee","","organisation","","Brecon Beacons National Park Committee [organisation]","","","Wales","Brecon","Brecon Beacons National Park Committee","1992","","1 sheet, colour, illustrations, 16 x 31 cm, on sheet 30 x 42 cm, folded to 21 x 10 cm","912.4294","Maps X.10542","Brecon Beacons National Park (Wales) ; Commons--Wales--Brecon Beacons ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English ; Welsh","Relief shown by shading"
"Common land in the Brecon Beacons National Park","Common land in the Brecon Beacons National Park = Tir comin yn y Parc Cenedlaethol Bannau Brycheiniog","013022858","Monograph","Cartographic image ; Cartographic material ; Text","Sheet","GBA476448","","Brecon Beacons National Park Committee","","organisation","","Brecon Beacons National Park Committee [organisation]","","","Wales","Brecon","Brecon Beacons National Park Committee","1992","","1 sheet, colour, illustrations, 16 x 31 cm, on sheet 30 x 42 cm, folded to 21 x 10 cm","912.4294","Maps X.10542","Brecon Beacons National Park (Wales) ; Commons--Wales--Brecon Beacons ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English ; Welsh","Relief shown by shading"
"Community development, tourism and the Sustainable Development Fund within the Brecon Beacons National Park","","019108116","Monograph","Language material ; Text","Online resource","","","Isaacs, E. M.","","person","author","London South Bank University [organisation] ; Tyler, D. [person] ; Isaacs, E. M., author [person] ; Mason, P. [person]","","","United Kingdom","","London South Bank University","2017","","1 online resource","300","755903","","","English",""
"Community futures : community engagement in Scotland's first national park","","013669678","Monograph","Language material ; Text","Volume","GBA711382","9780955004926","Roxburgh, Colin","","person","","Roxburgh, Colin [person] ; Loch Lomond and the Trossachs National Park (Scotland) [organisation] ; Tuffs, Alan [person]","","","Scotland","Balloch","Loch Lomond ; Trossachs National Park Authority","2006","","96 pages, colour illustrations, colour portraits, 23 cm","","","National parks and reserves--Scotland--Loch Lomond and the Trossachs National Park--Planning--Citizen participation ; Rural development--Scotland--Loch Lomond and the Trossachs National Park--Citizen participation","","English",""
"Community participation in local decision-making in protected areas : the case of the New Forest National Park, Hampshire, England","","015929564","Monograph","Language material ; Text","Online resource","","","Hewlett, Denise","","person","","Bournemouth University [organisation] ; Hewlett, Denise [person]","","","United Kingdom","","Bournemouth University","2010","","pages, digital, pdf file","307.1","519976","","","English",""
"Comparison of differences in landscape preferences : case of the Cairngorms National Park of Scotland and the Jirisan National Park of Korea","","013497228","Monograph","Language material ; Text","Online resource","","","Lee, Dukjae","","person","","Lee, Dukjae [person] ; University of Aberdeen [organisation]","","","Scotland","Aberdeen","University of Aberdeen","2005","","1 volume, 31 cm","914.124","424982","","","English",""
"Complete Lakeland Fells","","008380820","Monograph","Language material ; Text","Volume","GBA2Z5411","9780007136292","Birkett, Bill","","person","","Birkett, Bill [person]","","","England","London","Collins","2002","","288 pages, colour illustrations, 25 cm","796.522094278","","Lake District National Park (England)--Guidebooks ; Hiking--England--Lake District National Park--Guidebooks","Guidebook","English",""
"Complete guide to Snowdonia : unlock the finest walks, greatest sights and wildest places in Wales' most spectacular national park","The complete guide to Snowdonia ; Trail (Bretton, England)","017146866","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB6J5942","","Weeks, Ben","","person","author","Weeks, Ben, author [person] ; Ingram, Simon, editor [person] ; Reed, Oli, editor [person]","","","England","Peterborough","Bauer Consumer Media","2015","","99 pages, illustrations (black and white and colour), colour maps, 30 cm","796.510942925","YK.2016.b.1128","Hiking--Wales--Snowdonia National Park--Guidebooks ; Snowdonia National Park (Wales)--Guidebooks","Guidebook","English","'From the makers of Trail magazine.'"
"Complete guide to the Peak District : from gentle valleys to thrilling ridges : discover the greatest walks in Britain's favourite national park","Country walking ; The complete guide to the Peak District","017702204","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB770971","","Hallissey, Nick","","person","author ; editor","Procter, Guy, editor [person] ; Hallissey, Nick, author ; editor [person] ; Walters, Jenny, author ; journalist [person] ; Manning, Jonathan, 1969-, author [person] ; Great Britain, Ordnance Survey [organisation]","","","England","Peterborough","Bauer Consumer Media","2015","New 2016 walking guide","97 pages, chiefly colour illustrations, colour maps, 30 cm","796.510942511","YK.2017.b.315","Walking--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","'ISSN 2057-7524.' ; 'In association with Ordnance Survey'--Cover ; 'Includes 40 step-by-step walks with OS maps'--Cover ; 'Published by Country walking.'"
"Complete guide to the broads","","015598499","Monograph","Language material ; Text","Volume","GBB1C0241","9781841653266","Lely, Bridget","","person","","Lely, Bridget [person]","","","England","Andover","Pitkin","2010","","83 pages, colour illustrations, colour maps, 19 x 25 cm","914.26170486","LC.31.a.10743","Broads, The (England)--Guidebooks","Guidebook","English","Includes index ; Originally published: 2008 ; Text by Bridget Lely ; Title from the cover"
"Complex systems : theory and applications","International journal of design & nature and ecodynamics","018122252","Monograph","Language material ; Text","Volume","GBB6J4767","9781784662356","Complex Systems (Conference), 2nd, New Forest National Park, England","2016","meeting/conference","","Rzevski, G. (George), editor [person] ; Brebbia, C. A., editor [person] ; Complex Systems (Conference), 2nd, New Forest National Park, England, 2016 [meeting/conference]","","","England","Southampton","WIT Press","2017","","247 pages, illustrations (black and white and colour), 27 cm","003","003","System analysis--Congresses ; System theory--Congresses","Congress","English","'The material contained herein is reprinted from a special edition of the International journal of design & nature and ecodynamics, volume 11, number 4, published by WIT Press'--Title page verso ; Based on proceedings of Complex Systems 2016, 1-3 June 2016, New Forest, UK--Publisher's website"
"Composition of enclosed grasslands : Yorkshire Dales National Park","","007532715","Monograph","Language material ; Text","Volume","","9780905455198","","","","","Bunce, R. G. H. (Robert Gerald Henry) [person] ; Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation]","","","England","Leyburn","Yorkshire Dales National Park Committee","1985","","51 pages, 30 cm","","CW 224","","","English",""
"Composition of enclosed grasslands","","012308110","Monograph","Language material ; Text","Volume","GB8713117","9780905455198","","","","","Bunce, R. G. H. (Robert Gerald Henry) [person] ; Yorkshire Dales National Park Committee (North Yorkshire, England) [organisation]","","","England","Leyburn","Yorkshire Dales National Park Committee","1985","","51 pages, illustrations, maps, 30 cm","633.202094281","q91/05724","Yorkshire--Grassland ; Pastures--England--Yorkshire","","English",""
"Conservation assessment of lowland heathland in the upland fringes (Ffridd zone) in the Snowdonia National Park","","016084596","Monograph","Language material ; Text","Volume","GBB246336","","Gritten, Rod","","person","","Wales, Welsh Assembly Government [organisation] ; Countryside Council for Wales [organisation] ; Gritten, Rod [person]","Contract science report","number 992 [Contract science report]","Wales","Bangor","Countryside Council for Wales","2012","","48 pages, colour illustrations, 30 cm","577.380942925","3096.239200 ; OPA.2013.x.607","Snowdonia National Park (Wales) ; Heathland restoration--Wales--Snowdonia National Park ; Heathland ecology--Wales--Snowdonia National Park","","English ; Welsh",""
"Conservation in the New Forest National Park","","014795657","Monograph","Language material ; Text","Sheet","GBA8C7536","","","","","","New Forest National Park Authority [organisation]","","","England ; United Kingdom","","New Forest National Park Authority","2007","","2 folded sheets, colour illustrations, 1 colour map, 30 cm","333.75160942275","YK.2008.b.6231 ; YK.2008.b.6232","Climatic changes--England--New Forest (Forest) ; Nature conservation--England--New Forest (Forest)","","English",""
"Conservation map of Snowdonia","Map cadwraeth (datganiad polisi) : Adran 3 Deddf Bywyd Gwyllt a Chefn Gwlad (Diwygiad) 1985 ; Map cadwraeth o Eryri ; Wildlife and Countryside (Amendment) Act 1985","010990743","Monograph","Language material ; Text","Volume","GB9226251","9780948161032","Snowdonia National Park","","organisation","","Snowdonia National Park [organisation]","","","Wales","Penrhyndeudraeth","Parc Cenedlaethol Eryri","1991","","16, 16 pages, maps, 30 cm","","","National parks and reserves--Wales--Maps ; Snowdonia National Park--Maps","","English ; Welsh","5 map wedi'u plygu mewn poced yn y clawr = 5 folded maps in pocket inside cover ; Teitlau'r clawr yn amrywio = Cover titles vary"
"Conservation of Historic Landscapes in the Peak District National Park","","011035017","Monograph","Language material ; Text","Volume","","9780901428776","Wager, Jonathan F.","","person","","Wager, Jonathan F. [person]","","","","","Peak Park Joint Planning Board","1981","","","","f81/3761","","","English",""
"Conservation of ancient monuments : The report of a working party","","014065886","Monograph","Language material ; Text","Volume","","","","","","","Dartmoor National Park Authority, Forestry Commission and Dartmoor Preservation Association [organisation]","","","","","","1976","","","","f78/0811","","","English",""
"Conservation of ancient monuments","","015159650","Monograph","Language material ; Text","Volume","","","","","","","Dartmoor National Park Authority [organisation] ; Forestry Commission and Dartmoor Preservation Association [organisation]","","","United Kingdom","","Dartmoor National Park Authority ; Forestry Commission & Dartmoor Preservation Association","","","16 pages","","f78/0811","","","English",""
"Conservation of historic landscapes in the Peak District National Park","","009760197","Monograph","Language material ; Text","Volume","","","Wager, Jonathan F.","","person","","Wager, Jonathan F. [person]","","","","","Peak Park Board","1981","","","","f83/4551","","","English",""
"Conservation of northern upland meadows","","007787870","Monograph","Language material ; Text","Volume","","9780905455181","Smith, R. S.","","person","","Smith, R. S. [person]","","","","","Yorkshire Dales National ParkCommittee","1985","","","","q92/14269","","","English",""
"Conservation of northern upland meadows","","012308109","Monograph","Language material ; Text","Volume","GB8712247","9780905455181","Smith, Roger S.","","person","","Yorkshire Dales National Park Committee (North Yorkshire, England) [organisation] ; Smith, Roger S. [person]","","","England","Leyburn","Yorkshire Dales National Park Committee","1985","","47 pages, illustrations, 30 cm","633.20209427","CC 42","Northern England--Upland regions--Grassland ; Pastures--England, Northern","","English",""
"Conserving the coastal slopes","Gwarchod y godiroedd : 1999-2002 = Conserving the coastal slopes : 1999-2002","013146777","Monograph","Language material ; Text","Volume","GBA524834","","","","","","Pembrokeshire Coast National Park Authority [organisation]","","","England","Hwlffordd","Awdurdod Parc Cenedlaethol Sir Benfro","2002","","22, 22 pages, colour illustrations, maps, 30 cm","","","Coastal ecology--Wales ; Coastal zone management--Wales","","English ; Welsh",""
"Consultation response for the Brecon Beacons National Park Local Plan (Deposit) draft : report prepared for Friends of the Earth Cymru","","008367971","Monograph","Language material ; Text","Volume","GB9684679","","Mobbs, Paul","","person","","Mobbs, Paul [person] ; Friends of the Earth, Friends of the Earth Cymru [organisation]","","","England","Banbury","Paul Mobbs","1995","","66, that is 17 pages, map, 21 x 30 cm","","","Brecon Beacons National Park (Wales) ; Regional planning--Wales--Brecon Beacons","","English",""
"Consultation summary for the Brecon Beacons National Park : management plan 2010-2015","Crynodeb o'r ymgynghoriad ar gyfer Parc Cenedlaethol Bannau Brycheiniog : cynllun rheoli 2010-2015 = Consultation summary for the Brecon Beacons National Park : management plan 2010-2015","015950547","Monograph","Language material ; Text","Volume","GBB1C0462","","Brecon Beacons National Park Authority","","organisation","","Brecon Beacons National Park Authority [organisation]","","","Wales","Aberhonddu","Awdurdod Parc Cenedlaethol Bannau Brycheiniog","2010","","40, 40 pages, 30 cm","","","Brecon Beacons National Park (Wales) ; Strategic planning--Wales--Brecon Beacons National Park ; National parks and reserves--Wales--Brecon Beacons National Park--Planning","","English ; Welsh",""
"Consultation summary for the Brecon Beacons National Park : management plan 2010-2015","Crynodeb o'r ymgynghoriad ar gyfer Parc Cenedlaethol Bannau Brycheiniog : cynllun rheoli 2010-2015 = Consultation summary for the Brecon Beacons National Park : management plan 2010-2015","015950548","Monograph","Language material ; Text","Volume","GBB1C0463","","Brecon Beacons National Park Authority","","organisation","","Brecon Beacons National Park Authority [organisation]","","","Wales","Aberhonddu","Awdurdod Parc Cenedlaethol Bannau Brycheiniog","2010","","40, 40 pages, 30 cm","","","Brecon Beacons National Park (Wales) ; Strategic planning--Wales--Brecon Beacons National Park ; National parks and reserves--Wales--Brecon Beacons National Park--Planning","","English ; Welsh",""
"Consultative draft Cairngorms National Park Authority local plan - SEA Environmental report","Evironmental report of the consultative draft of Cairngorms local plan ; Strategic environmental assessment environmental report of the consultative draft of Cairngorms local plan","013424986","Monograph","Language material ; Text","Volume","GBA630989","","Cairngorms National Park Authority","","organisation","","Cairngorms National Park Authority [organisation]","","","Scotland","Ballater","Cairngorms National Park Authority","2006","","1 volume (various pagings), maps, 30 cm","","","National parks and reserves--Scotland--Cairngorms--Planning ; Environmental impact analysis--Scotland--Cairngorms","","English","Cover title"
"Core Statutes on Contract, Tort & Restitution 2017-18","","018428920","Monograph","Language material ; Text","Online resource","GBB7E1793","9781352000542","Stephenson, Graham","","person","author","Stephenson, Graham, author [person]","Palgrave Core Statutes","","England ; United Kingdom","London","Palgrave","2017","2nd","1 online resource","340","ELD.DS.161386","Law","","English","Commercial Debts (Interest) Act 1998.- Contracts (Rights of Third Parties) Act 1999.- Countryside and Rights of Way Act 2000.- Postal Services Act 2000.- Powers of Criminal Courts (Sentencing) Act 2000.- Police Reform Act 2002.- Criminal Justice Act 2003.- Health and Social Care (Community Health and Standards) Act 2003.- Gambling Act 2005.- Mental Capacity Act 2005.- Companies Act 2006.- Compensation Act 2006.- Legal Services Act 2007.- Banking Act 2009.- Third Parties (Rights against Insurers) Act 2010.- Equality Act 2010.- Damages (Scotland) Act 2011.- Defamation Act 2013.- Consumer Rights Act 2015.- part II STATUTORY INSTRUMENTS.- Package Travel ; Designs and Patents Act 1988.- Housing Act 1988.- Road Traffic Act 1988.- Road Traffic (Consequential Provisions) Act 1988.- Employment Act 1989.- Law of Property (Miscellaneous Provisions) Act 1989.- Broadcasting Act 1990.- Contracts (Applicable Law) Act 1990.- Courts and Legal Services Act 1990.- Water Industry Act 1991.- Water Resources Act 1991.- Access to Neighbouring Land Act 1992.- Trade Union and Labour Relations (Consolidation) Act 1992.- Railways Act 1993.- Criminal Justice and Public Order Act 1994.- Criminal Injuries Compensation Act 1995.- Requirements of Writing (Scotland) Act 1995.- Broadcasting Act 1996.- Damages Act 1996.- Defamation Act 1996.- Education Act 1996.- Police Act 1996.- Contract (Scotland) Act 1997.- Protection from Harassment Act 1997.- Social Security (Recovery of Benefits) Act 1997.- Human Rights Act 1998.- Late Payment of"
